종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,7.457,10,161.4,7.837,5.234,181.0,72235,967.0,2.385,787247.5
MEGA,2.871,2,109.1,3.703,4.033,117.0,93964,775.0,3.643,816954.6
ZKC,2.612,1,46.5,3.797,3.665,52.0,63440,403.0,3.969,474537.0
SAHARA,2.591,1,47.8,4.43,4.301,87.0,32963,229.0,1.049,55523356.8
TRUMP,1.734,0,77.0,2.079,6.41,99.0,60009,502.0,5.576,21615.3
MIRA,1.732,0,23.6,4.791,3.127,68.0,30839,207.0,3.77,608378.3
ONDO,1.627,0,48.3,1.637,3.902,445.0,15518,201.0,3.274,1006012.7
TAO,1.544,0,49.7,1.606,2.958,293.0,30370,276.0,3.375,229.9
AXL,1.445,0,19.8,3.934,3.53,97.0,18508,116.0,3.795,986839.7
ENSO,1.435,0,22.3,2.514,3.354,128.0,15481,107.0,3.098,90938.6
ARDR,1.405,0,3.8,2.301,1.527,71.0,4101,16.0,2.514,1329124.4
B3,1.346,0,41.6,1.838,1.806,98.0,42622,250.0,5.685,53417921.4
IRYS,1.282,0,31.0,2.705,2.256,78.0,31168,196.0,1.7,8460848.4
SUI,1.265,0,20.4,1.268,0.995,254.0,9730,83.0,2.692,169415.6
SKR,1.248,0,24.9,1.903,2.54,87.0,24194,161.0,5.53,5105733.4
G,1.246,0,7.3,3.114,1.931,109.0,8750,59.0,2.831,23866328.6
OPEN,1.211,0,23.4,1.212,1.05,173.0,10330,77.0,1.844,457417.4
ATH,1.18,0,6.3,1.514,0.456,303.0,1818,19.0,2.189,16661268.7
HBAR,1.161,0,8.2,1.161,1.795,92.0,2806,22.0,1.675,10721926.0
XPL,1.117,0,27.5,1.117,1.444,175.0,7780,78.0,1.005,6853975.1
NEAR,1.082,0,45.3,1.235,2.616,101.0,17757,177.0,3.006,47747.7
ELSA,1.02,0,3.5,1.02,0.166,1275.0,1633,8.0,2.268,585183.3
KITE,0.995,0,6.5,1.045,0.789,103.0,1762,16.0,1.048,982504.4
