종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
NEAR,8.752,6,172.0,8.882,8.368,142.0,87906,905.0,1.928,38927.6
WLD,6.397,8,171.5,7.484,8.817,299.0,78242,914.0,2.384,465355.3
OP,2.671,1,8.5,2.705,0.38,415.0,1053,16.0,6.242,220330.6
ONDO,2.441,1,116.7,5.911,8.767,224.0,50840,747.0,4.495,881866.3
IN,2.138,1,120.2,3.081,8.752,122.0,47315,440.0,1.842,5333402.5
VIRTUAL,2.083,1,58.6,2.15,1.721,236.0,24130,260.0,2.708,105565.3
DRIFT,1.884,0,56.9,4.964,3.079,88.0,62381,414.0,3.582,863724.5
SUI,1.859,0,40.3,2.087,2.03,315.0,19381,195.0,6.21,114026.1
ERA,1.795,0,49.4,2.431,2.656,39.0,36712,230.0,1.753,914399.6
SAND,1.576,0,9.3,1.576,0.405,90.0,2653,16.0,0.516,22508062.0
CHZ,1.543,0,15.1,1.569,1.215,249.0,7727,58.0,3.643,1839227.9
EDGE,1.433,0,23.3,2.43,2.539,98.0,17101,114.0,0.847,3357419.6
KITE,1.41,0,26.0,1.565,1.038,124.0,8552,73.0,1.252,1348682.5
AAVE,1.352,0,6.7,1.377,0.988,157.0,2389,15.0,4.465,540.4
RENDER,1.35,0,58.7,1.392,1.765,111.0,26040,220.0,6.298,14014.7
POL,1.279,0,7.9,1.279,0.487,1599.0,1868,18.0,1.17,4428466.6
ENA,1.275,0,16.2,1.791,1.477,271.0,3216,51.0,2.307,3186083.0
XPL,1.197,0,26.6,1.261,0.942,241.0,6954,58.0,0.781,9019169.3
SOON,1.188,0,44.6,1.468,2.46,140.0,19235,169.0,1.161,2222526.0
TRUST,1.18,0,20.3,1.418,1.025,135.0,5800,64.0,1.408,5397214.8
MMT,1.18,0,31.5,2.973,3.332,87.0,29064,237.0,2.697,710340.0
ATH,1.079,0,22.2,1.14,0.741,78.0,8279,77.0,2.516,8007193.1
ALT,1.068,0,8.4,1.193,0.45,191.0,3193,27.0,1.138,34187100.0
TRAC,0.956,0,7.4,3.623,3.944,102.0,7648,50.0,2.483,78510.8
AKT,0.913,0,26.6,1.247,0.932,92.0,12985,100.0,3.213,34275.9
MEGA,0.895,0,20.4,0.94,1.18,266.0,5843,68.0,0.721,7215098.7
DKA,0.88,0,5.2,1.106,1.041,73.0,4705,23.0,2.957,5748209.3
AZTEC,0.872,0,43.1,3.063,3.307,100.0,35470,238.0,1.502,4511457.2
SAHARA,0.854,0,36.3,1.522,2.068,120.0,19487,179.0,3.589,3100667.0
PLUME,0.788,0,10.9,0.838,0.813,232.0,2415,28.0,2.045,4580637.2
ARB,0.773,0,10.3,0.773,0.683,595.0,2122,24.0,1.849,1614507.6
FF,0.77,0,9.6,0.863,0.433,80.0,2507,22.0,1.323,3509788.3
SEI,0.77,0,23.6,0.77,1.005,285.0,8235,75.0,2.551,1959820.0
ARKM,0.766,0,20.8,1.517,1.8,324.0,7876,76.0,1.504,752053.3
PENGU,0.761,0,17.3,0.761,1.221,224.0,3410,50.0,0.89,129452468.2
VVV,0.746,0,18.9,0.885,0.678,244.0,9546,83.0,2.27,2144.2
B3,0.742,0,9.0,0.755,0.537,365.0,3942,25.0,0.592,446163765.1
BCH,0.706,0,9.5,0.706,0.519,186.0,3286,21.0,1.655,234.2
CFG,0.692,0,20.4,0.91,0.962,72.0,7791,79.0,2.182,339742.7
MIRA,0.686,0,7.0,0.686,0.294,160.0,1814,13.0,0.485,5596277.6
BERA,0.664,0,6.6,0.683,0.456,166.0,2393,19.0,1.389,277601.2
SHIB,0.649,0,14.6,0.657,0.796,277.0,10461,48.0,3.407,19679087011.4
XAUT,0.622,0,3.4,0.628,0.629,1584.0,1273,10.0,2.321,11.8
RVN,0.619,0,10.5,2.753,3.039,63.0,17202,85.0,2.726,5368759.8
STX,0.606,0,8.2,0.606,0.499,288.0,2556,22.0,2.563,505368.0
KERNEL,0.591,0,4.3,0.607,0.313,164.0,1825,11.0,0.206,6801493.0
ORDER,0.569,0,3.7,0.573,0.274,161.0,1805,13.0,1.653,642017.7
SENT,0.569,0,6.7,0.725,0.498,238.0,2333,19.0,1.688,4122736.0
PEPE,0.563,0,5.5,0.563,1.158,176.0,2556,20.0,2.354,42471191549.3
TRUMP,0.552,0,10.7,0.616,0.414,100.0,3853,26.0,2.738,16199.7
HBAR,0.543,0,7.5,0.543,0.553,362.0,3002,18.0,1.087,10472252.3
INJ,0.537,0,18.6,0.715,0.853,319.0,8238,70.0,2.761,7278.4
BIO,0.521,0,10.0,0.613,0.584,252.0,3677,32.0,2.71,1313300.7
TREE,0.519,0,5.7,0.521,0.717,111.0,6170,34.0,2.853,263960.1
FLOCK,0.517,0,7.4,0.752,0.646,230.0,2733,27.0,1.102,1618987.6
BARD,0.516,0,5.8,0.516,0.666,156.0,2551,19.0,1.366,587282.5
AWE,0.515,0,6.8,1.497,0.981,68.0,7330,41.0,9.101,414361.8
LAYER,0.505,0,5.1,0.505,0.438,1010.0,1760,14.0,0.713,4397665.8
TAO,0.503,0,16.9,1.331,2.96,453.0,12246,107.0,96.984,101.9
