종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
BCH,00:00,-0.47,0.2,0.67,81,0.949,588.1
BCH,00:10,0.1,0.15,0.05,32,0.783,624.2
BCH,00:20,0.35,0.38,0.03,18,0.923,566.3
BCH,00:30,-0.01,0.04,0.05,11,0.951,551.6
BCH,00:40,-0.15,0.0,0.15,27,0.753,612.1
BCH,00:50,-0.11,0.03,0.14,28,0.991,546.8
BCH,01:00,-0.01,0.01,0.01,12,0.915,588.0
BCH,01:10,-0.06,0.01,0.08,10,0.911,591.5
BCH,01:20,-0.02,0.25,0.26,59,1.405,432.2
BCH,01:30,-0.31,0.43,0.75,60,0.667,658.1
BCH,01:40,-0.0,0.0,0.0,2,0.724,640.5
BCH,01:50,0.01,0.02,0.0,13,0.822,608.0
BCH,02:00,0.01,0.03,0.02,13,0.699,660.3
BCH,02:10,-0.01,0.01,0.02,10,0.569,637.4
BCH,02:20,-0.07,0.11,0.18,50,0.868,348.7
BCH,02:30,0.42,0.45,0.04,126,0.475,577.3
BCH,02:40,-0.06,0.03,0.08,26,0.795,527.0
BCH,02:50,0.07,0.21,0.14,66,0.488,802.9
BCH,03:00,-0.2,0.0,0.2,24,0.545,614.9
BCH,03:10,0.1,0.11,0.01,33,0.55,849.4
BCH,03:20,-0.04,0.07,0.11,13,0.548,709.4
BCH,03:30,-0.04,0.02,0.05,9,0.481,908.6
BCH,03:40,-0.01,0.02,0.03,8,0.585,742.4
BCH,03:50,0.05,0.09,0.04,20,0.44,948.7
BCH,04:00,0.05,0.16,0.1,50,0.573,806.7
BCH,04:10,-0.02,0.04,0.06,16,0.476,884.4
BCH,04:20,0.03,0.04,0.01,5,0.471,840.7
BCH,04:30,0.15,0.17,0.02,31,0.382,1090.1
BCH,04:40,0.01,0.09,0.07,13,0.402,1023.9
BCH,04:50,0.16,0.25,0.09,46,0.439,902.0
BCH,05:00,-0.03,0.01,0.04,10,0.426,974.9
BCH,05:10,-0.19,0.01,0.21,25,0.57,695.7
BCH,05:20,-0.05,0.03,0.08,21,0.415,619.5
BCH,05:30,0.08,0.09,0.01,42,0.609,683.7
BCH,05:40,-0.02,0.05,0.07,29,0.685,653.6
BCH,05:50,0.01,0.05,0.03,18,0.441,850.0
BCH,06:00,0.05,0.12,0.06,40,0.54,745.8
BCH,06:10,0.1,0.17,0.07,44,0.513,924.4
BCH,06:20,-0.02,0.17,0.19,71,0.446,948.9
