종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
WLD,00:00,-13.81,10.76,24.56,2485,3.251,415708.0
WLD,00:10,-11.95,16.02,27.97,3381,9.833,197104.0
WLD,00:20,-4.9,11.84,16.75,2282,1.499,472747.1
WLD,00:30,3.59,12.0,8.41,1192,1.791,571839.1
WLD,00:40,-2.29,5.88,8.17,836,1.663,627873.5
WLD,00:50,1.28,8.43,7.15,1048,1.153,732083.2
WLD,01:00,-1.59,9.33,10.92,1371,1.351,715722.2
WLD,01:10,-2.87,22.29,25.17,2672,0.507,1585337.8
WLD,01:20,-1.06,12.07,13.14,1430,0.761,1101167.3
WLD,01:30,-11.55,10.05,21.6,1740,1.367,485751.6
WLD,01:40,1.11,10.64,9.53,1353,0.541,1052997.8
WLD,01:50,2.27,12.85,10.57,1171,0.397,1735701.4
WLD,02:00,-5.26,6.25,11.51,1008,1.125,1034659.0
WLD,02:10,-12.83,6.65,19.48,1507,1.116,700427.5
WLD,02:20,-2.0,3.78,5.78,641,0.663,1011494.9
WLD,02:30,-3.21,3.91,7.12,752,0.539,1264151.0
WLD,02:40,1.13,7.53,6.4,561,0.517,1302654.1
WLD,02:50,1.01,6.93,5.92,610,0.377,1787225.6
WLD,03:00,1.17,5.06,3.89,696,0.405,1404381.1
WLD,03:10,-2.42,2.07,4.5,643,1.223,539672.6
WLD,03:20,-0.08,2.09,2.17,396,0.696,852622.1
WLD,03:30,-2.34,1.17,3.51,385,0.83,781358.4
WLD,03:40,-3.49,1.36,4.85,641,1.103,800678.3
WLD,03:50,-2.58,3.59,6.17,633,2.44,392975.7
WLD,04:00,-2.54,2.11,4.65,689,2.69,400466.5
WLD,04:10,3.41,5.35,1.93,347,1.215,563399.2
WLD,04:20,1.13,2.55,1.41,351,0.472,1254168.1
WLD,04:30,-0.66,1.65,2.3,424,1.07,693662.8
WLD,04:40,2.14,4.69,2.55,481,0.38,1737394.9
WLD,04:50,-4.98,2.34,7.32,402,0.452,1445783.1
WLD,05:00,2.82,10.88,8.06,674,0.497,1278355.3
WLD,05:10,-6.38,3.29,9.68,543,1.258,733471.6
WLD,05:20,-1.34,0.78,2.13,294,1.21,726994.1
WLD,05:30,1.53,4.53,3.0,303,0.527,1332635.8
