종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
ID,6.453,37,252.1,12.535,14.205,88.0,222097,2083.0,10.179,1583824.2
JTO,5.9,1,38.4,9.776,3.876,327.0,15683,150.0,3.983,112808.3
INJ,4.562,1,48.7,8.849,4.288,281.0,30798,313.0,5.318,9905.3
HBAR,4.109,9,188.4,4.651,6.0,507.0,43366,656.0,1.567,12375599.2
NEAR,4.076,4,86.2,4.231,3.362,343.0,35988,399.0,2.756,36705.5
PENGU,3.998,1,29.8,4.515,2.202,396.0,4404,76.0,0.948,131693578.7
VTHO,3.567,1,67.2,6.486,4.265,105.0,102757,711.0,5.194,47366640.2
PRL,3.13,1,21.5,3.237,3.301,522.0,11098,85.0,0.903,864257.4
WLD,3.088,5,92.4,4.7,3.314,239.0,28471,405.0,2.26,975597.2
POKT,2.234,1,39.4,3.872,2.15,100.0,31898,210.0,1.817,17143930.9
SUI,2.12,1,32.5,2.246,1.779,139.0,17639,153.0,16.413,28656.1
ERA,1.864,0,6.9,4.305,4.037,115.0,4185,40.0,2.322,647101.9
OP,1.802,0,8.8,2.144,0.409,382.0,817,14.0,3.015,490842.4
ORCA,1.601,0,14.2,9.289,11.954,76.0,19164,147.0,3.62,20634.5
NEWT,1.586,0,11.8,1.958,0.896,63.0,7324,43.0,1.34,2248293.2
VIRTUAL,1.521,0,31.6,2.052,1.278,217.0,11334,115.0,2.007,151830.8
ENS,1.487,0,14.2,9.915,12.96,100.0,18093,154.0,9.498,4370.2
ONDO,1.436,0,62.0,1.828,6.462,92.0,29247,317.0,3.767,868024.4
ENA,1.354,0,20.1,1.397,1.017,138.0,3765,44.0,2.8,3503450.6
SEI,1.336,0,28.8,1.724,1.187,361.0,10185,108.0,3.6,1685163.3
CFG,1.265,0,20.1,3.599,2.611,191.0,8316,76.0,2.224,317925.6
ALGO,1.226,0,51.6,1.469,2.27,78.0,14145,168.0,1.898,3301498.6
ZAMA,1.2,0,16.0,2.31,2.612,224.0,9246,82.0,2.666,1918379.3
AXS,1.141,0,29.3,1.736,2.335,85.0,24753,192.0,4.147,29601.2
XPL,0.987,0,22.7,1.004,1.429,143.0,5651,57.0,0.923,6808653.6
TAO,0.957,0,9.2,1.085,0.511,1597.0,3789,29.0,3.113,227.1
IN,0.923,0,33.2,1.088,1.88,413.0,10183,95.0,1.363,3781134.8
SHIB,0.914,0,17.0,0.941,1.425,484.0,8668,49.0,3.499,33014232460.2
CPOOL,0.852,0,18.5,2.828,2.005,100.0,18352,91.0,1.238,2789966.5
LINK,0.846,0,28.6,2.021,1.887,719.0,13851,132.0,14.896,1923.4
BLAST,0.841,0,12.6,2.451,2.972,143.0,13018,102.0,7.517,51530061.2
SAND,0.829,0,10.1,0.829,0.612,691.0,2419,22.0,0.321,19271455.0
SAHARA,0.822,0,26.3,1.274,0.928,91.0,12474,84.0,1.419,6387754.4
IOTA,0.771,0,20.1,1.241,0.803,197.0,8632,70.0,2.958,673565.2
B3,0.76,0,7.9,0.77,0.362,93.0,2407,17.0,0.47,693553657.7
ZK,0.743,0,16.8,2.584,3.506,82.0,11366,93.0,1.858,5246645.0
WLFI,0.722,0,4.7,0.889,0.384,1057.0,1443,11.0,1.951,2950390.9
CVC,0.718,0,6.3,1.32,1.085,74.0,6573,35.0,4.144,496051.1
APT,0.693,0,6.5,0.715,0.507,115.0,2832,22.0,5.996,19038.8
PLUME,0.69,0,10.1,0.69,0.516,363.0,1764,28.0,2.765,5945934.8
BONK,0.683,0,4.2,1.098,0.507,488.0,1356,11.0,2.826,15609477640.4
KITE,0.677,0,8.0,0.677,0.996,251.0,3662,25.0,1.139,953695.4
PUMP,0.666,0,4.1,0.695,0.42,426.0,879,7.0,1.129,80464383.2
ZKP,0.651,0,4.4,0.997,0.841,140.0,1485,13.0,0.279,5881543.0
BCH,0.611,0,13.5,0.684,0.694,344.0,5179,42.0,4.598,115.1
CC,0.594,0,4.3,0.594,0.278,283.0,1212,10.0,5.362,521138.0
LA,0.592,0,5.1,1.009,0.476,549.0,1471,15.0,0.925,1327096.2
IP,0.563,0,12.5,0.607,0.598,271.0,5251,43.0,3.387,141339.0
VET,0.559,0,18.9,1.17,3.301,87.0,15092,98.0,5.044,3487215.9
FIL,0.55,0,10.9,0.55,0.44,102.0,3766,29.0,3.325,40679.6
IRYS,0.541,0,13.6,0.636,1.009,63.0,11238,78.0,2.463,6430541.1
FF,0.534,0,10.1,0.585,1.121,276.0,3240,31.0,1.264,3102584.9
POL,0.528,0,5.4,0.961,1.263,440.0,1407,13.0,1.127,4496646.5
DRIFT,0.528,0,16.4,1.017,1.187,76.0,21050,100.0,3.534,852589.8
JST,0.513,0,2.4,0.513,0.137,285.0,598,4.0,0.487,2849068.4
MEGA,0.51,0,10.3,0.51,0.638,255.0,5777,33.0,1.673,1895680.0
