종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
PUNDIX,00:00,0.01,0.01,0.0,9,0.379,689163.1
PUNDIX,00:20,0.04,0.04,0.0,7,0.379,698660.3
PUNDIX,00:30,0.0,0.0,0.0,2,0.376,690382.0
PUNDIX,00:40,0.0,0.0,0.0,1,0.369,701890.7
PUNDIX,00:50,-0.0,0.0,0.0,1,0.382,694936.8
PUNDIX,01:00,0.01,0.01,0.0,5,0.379,690892.9
PUNDIX,01:10,0.0,0.0,0.0,3,0.372,693756.3
PUNDIX,01:20,0.04,0.04,0.0,4,0.414,715132.3
PUNDIX,01:30,-0.0,0.0,0.0,2,0.389,712018.4
PUNDIX,02:30,-0.0,0.0,0.0,2,0.394,702537.0
PUNDIX,03:20,0.01,0.01,0.0,1,0.4,704350.8
PUNDIX,03:30,0.0,0.0,0.0,1,0.403,703092.5
PUNDIX,05:50,0.1,0.1,0.0,5,0.418,733468.0
PUNDIX,06:30,-0.09,0.01,0.09,7,0.406,684917.9
PUNDIX,06:40,0.0,0.0,0.0,4,0.424,682440.7
PUNDIX,07:30,-0.06,0.0,0.06,6,0.289,717839.8
PUNDIX,07:50,-0.08,0.0,0.08,15,0.268,649545.5
PUNDIX,08:30,0.0,0.0,0.0,2,0.288,646116.6
PUNDIX,08:40,0.0,0.0,0.0,2,0.282,645900.8
PUNDIX,08:50,0.02,0.02,0.0,6,0.252,702024.0
PUNDIX,09:00,-1.73,11.09,12.81,3106,1.409,1235341.6
PUNDIX,09:10,-3.02,9.92,12.95,2868,1.288,1697785.0
PUNDIX,09:20,-3.06,5.32,8.39,2307,1.1,1615605.4
PUNDIX,09:30,0.02,10.2,10.18,2534,0.999,1664801.4
PUNDIX,09:40,-1.93,2.89,4.82,1219,0.709,1900786.4
PUNDIX,09:50,-2.75,4.12,6.87,1097,0.851,2025212.9
PUNDIX,10:00,-1.32,2.68,4.01,929,1.082,1754182.3
PUNDIX,10:10,-0.93,2.73,3.67,720,0.692,1804518.3
PUNDIX,10:20,0.51,2.53,2.02,532,0.876,1884790.8
PUNDIX,10:30,1.48,12.78,11.3,2579,0.887,1671129.7
PUNDIX,10:40,-0.48,13.36,13.84,3422,0.961,2126474.6
PUNDIX,10:50,-4.83,5.51,10.34,1928,0.915,2049257.9
PUNDIX,11:00,-0.31,3.49,3.8,1025,0.626,2436558.9
PUNDIX,11:10,1.85,6.61,4.76,1236,0.644,2286261.4
PUNDIX,11:20,-0.51,3.64,4.16,810,0.869,1950350.4
PUNDIX,11:30,-0.04,10.54,10.58,2000,0.788,2154673.9
PUNDIX,11:40,-1.11,3.41,4.53,1141,0.743,2162047.7
PUNDIX,11:50,-2.27,2.83,5.1,793,0.764,2494958.5
PUNDIX,12:00,0.5,1.67,1.17,433,0.846,2517506.9
PUNDIX,12:10,-0.41,1.17,1.58,431,0.816,2550272.2
PUNDIX,12:20,1.69,2.81,1.12,538,0.849,2363041.2
PUNDIX,12:30,-2.97,4.8,7.78,1455,0.931,2462283.8
PUNDIX,12:40,-1.17,1.5,2.67,510,1.011,2562605.0
PUNDIX,12:50,-1.05,0.96,2.01,328,0.84,2709089.1
PUNDIX,13:00,-0.16,0.96,1.12,277,0.864,2734608.5
PUNDIX,13:10,0.3,2.56,2.27,579,0.933,2673051.7
PUNDIX,13:20,0.23,1.34,1.11,376,0.967,2695699.6
PUNDIX,13:30,3.04,9.24,6.2,1610,0.965,2006290.7
PUNDIX,13:40,1.36,13.15,11.79,3220,0.923,2099378.9
PUNDIX,13:50,-1.55,3.47,5.01,1073,0.964,2050203.0
PUNDIX,14:00,1.38,4.06,2.68,737,1.324,1735817.5
PUNDIX,14:10,-4.31,4.81,9.12,1452,1.021,1884705.7
PUNDIX,14:20,-0.18,2.74,2.91,761,0.989,1723317.4
PUNDIX,14:30,0.06,3.31,3.25,859,0.799,2203404.8
PUNDIX,14:40,-2.4,1.7,4.11,875,0.821,2238003.7
PUNDIX,14:50,-1.46,2.48,3.94,756,0.595,2437410.4
PUNDIX,15:00,-5.07,2.31,7.38,1040,0.659,2377128.4
PUNDIX,15:10,-0.41,2.28,2.69,559,0.695,2201372.0
PUNDIX,15:20,0.49,2.04,1.55,357,0.683,2333878.2
PUNDIX,15:30,0.04,2.07,2.03,405,0.588,2463068.6
PUNDIX,15:40,-1.78,1.65,3.43,581,0.919,1990866.7
PUNDIX,15:50,-2.19,1.39,3.58,488,0.592,2059592.7
PUNDIX,16:00,-1.84,1.53,3.37,557,1.082,1666834.0
PUNDIX,16:10,-5.08,1.08,6.16,748,0.926,1820496.5
PUNDIX,16:20,-1.23,2.02,3.25,509,0.84,1859802.3
PUNDIX,16:30,0.94,2.07,1.13,285,0.837,1917797.1
PUNDIX,16:40,-3.56,1.92,5.48,724,0.712,1790579.3
PUNDIX,16:50,-1.66,2.29,3.95,638,1.677,1355970.9
PUNDIX,17:00,-1.46,1.32,2.77,464,1.591,1540455.8
PUNDIX,17:10,1.3,2.87,1.57,391,2.055,1236807.5
PUNDIX,17:20,0.37,1.38,1.01,235,2.179,1379018.3
PUNDIX,17:30,0.15,2.77,2.62,564,1.756,1564533.9
PUNDIX,17:40,-0.97,0.42,1.39,275,1.531,1658081.7
PUNDIX,17:50,-1.37,0.83,2.2,303,1.45,1721940.9
PUNDIX,18:00,-0.14,1.03,1.17,218,1.349,1621531.8
PUNDIX,18:10,-0.07,0.24,0.3,160,1.293,1586783.0
PUNDIX,18:20,-0.2,0.5,0.7,141,1.536,1385321.5
PUNDIX,18:30,-0.99,0.32,1.31,151,1.094,1865892.5
PUNDIX,18:40,-0.21,0.36,0.57,106,1.313,1861375.2
PUNDIX,18:50,-0.31,0.39,0.7,137,1.261,1709151.0
PUNDIX,19:00,1.1,2.12,1.01,364,1.363,1766737.5
PUNDIX,19:10,-2.48,2.54,5.03,793,1.153,2008319.1
PUNDIX,19:20,0.37,1.43,1.05,337,1.115,2206671.0
PUNDIX,19:30,0.36,2.44,2.08,507,0.967,2319983.8
PUNDIX,19:40,0.27,1.87,1.6,466,0.831,2436469.7
PUNDIX,19:50,0.14,2.13,1.99,462,1.145,2091897.1
