종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
JTO,6.363,2,34.8,12.406,6.043,216.0,14026,132.0,5.0,89515.8
WLD,5.886,11,212.2,7.086,5.497,166.0,78048,1099.0,4.544,344053.4
LAYER,4.019,3,60.7,4.356,2.816,107.0,28097,241.0,2.821,3753664.2
AQT,3.714,1,49.5,5.399,7.067,188.0,51825,393.0,7.782,116105.2
ID,3.683,5,135.9,7.566,9.135,136.0,115851,944.0,3.467,1308818.4
ONDO,3.15,2,72.8,3.15,5.192,279.0,17654,262.0,2.036,1975374.9
NEAR,2.397,1,32.9,3.353,1.074,186.0,14483,136.0,2.622,27794.2
ENA,2.185,1,44.3,2.19,1.677,458.0,7399,106.0,1.353,8027618.0
AERGO,2.05,1,15.0,2.608,1.222,177.0,10287,75.0,5.834,1522718.1
SUI,1.577,0,41.0,1.833,2.64,93.0,14700,137.0,3.53,144279.9
VIRTUAL,1.531,0,15.3,2.282,1.346,196.0,4991,48.0,3.717,149746.9
STRAX,1.513,0,49.7,2.632,3.694,112.0,35766,239.0,2.967,21903717.1
2Z,1.43,0,14.8,1.784,1.292,99.0,7013,49.0,2.35,853587.7
W,1.381,0,26.8,1.435,1.321,117.0,10128,100.0,0.934,21657941.0
PENGU,1.378,0,12.2,1.378,2.452,445.0,2341,32.0,0.517,189152045.5
BLEND,1.333,0,22.1,1.699,3.139,110.0,35500,169.0,6.159,174269.4
MOC,1.308,0,11.2,1.911,3.145,101.0,8788,57.0,13.259,1737829.1
SHIB,1.285,0,13.3,1.327,0.83,548.0,6381,34.0,2.535,38963795925.1
TAIKO,1.206,0,26.9,2.109,1.739,98.0,22514,136.0,2.034,1120684.8
ME,1.175,0,12.1,1.212,0.791,152.0,4948,34.0,1.993,745233.5
IN,1.058,0,26.3,1.131,0.815,125.0,8746,71.0,1.307,3063274.6
SUPER,1.007,0,4.0,1.064,0.962,374.0,1028,11.0,1.063,651272.5
WAVES,0.984,0,17.8,2.719,4.859,187.0,16315,95.0,6.061,112318.8
