종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
SOON,4.437,26,301.5,7.481,6.601,870.0,56192,1460.0,0,0
IN,4.036,7,149.6,5.223,4.256,133.0,65866,500.0,0,0
NEAR,2.786,2,108.7,4.853,3.701,142.0,59127,601.0,0,0
ONDO,2.346,6,160.4,3.241,6.922,280.0,60108,802.0,0,0
ERA,2.273,2,48.9,4.868,3.524,88.0,36975,274.0,0,0
CPOOL,2.119,1,27.5,4.506,2.387,63.0,32029,199.0,0,0
AWE,1.893,0,19.0,2.23,0.981,99.0,10810,72.0,0,0
SUPER,1.757,0,36.5,2.155,1.771,66.0,15772,127.0,0,0
CHIP,1.682,0,22.2,2.673,1.796,204.0,11353,87.0,0,0
HIVE,1.665,0,23.0,2.738,2.493,67.0,31132,194.0,0,0
RENDER,1.554,0,27.7,1.573,1.082,318.0,10114,82.0,0,0
XAUT,1.308,0,5.0,1.31,0.149,423.0,925,6.0,0,0
POLYX,1.245,0,10.0,4.884,8.873,62.0,12946,95.0,0,0
MEGA,1.231,0,15.8,1.396,0.881,209.0,3645,42.0,0,0
TRUST,1.221,0,30.5,1.52,1.395,349.0,9465,96.0,0,0
PENGU,1.184,0,12.4,1.184,1.016,846.0,1749,32.0,0,0
VIRTUAL,1.177,0,26.9,1.203,0.981,208.0,8489,80.0,0,0
PLUME,1.142,0,16.1,1.39,1.323,158.0,4943,48.0,0,0
STX,1.129,0,9.3,1.157,0.741,474.0,2868,22.0,0,0
WLD,1.079,0,24.4,1.102,1.7,351.0,8282,90.0,0,0
SUI,1.036,0,35.8,1.119,2.028,204.0,19075,183.0,0,0
LINK,0.939,0,12.5,0.94,0.447,522.0,5283,38.0,0,0
SHIB,0.915,0,13.2,0.922,1.166,101.0,6482,36.0,0,0
KITE,0.893,0,11.6,2.652,1.759,240.0,3883,39.0,0,0
ARB,0.867,0,8.5,0.867,0.637,202.0,1643,19.0,0,0
STEEM,0.857,0,10.8,1.765,2.225,122.0,17799,82.0,0,0
VVV,0.834,0,25.9,2.267,1.458,436.0,13892,124.0,0,0
XPL,0.833,0,8.0,0.864,0.74,102.0,2138,18.0,0,0
JTO,0.793,0,16.6,0.819,0.801,563.0,7565,59.0,0,0
CFG,0.776,0,21.4,0.78,0.8,522.0,9126,71.0,0,0
HOLO,0.754,0,4.5,0.774,0.649,397.0,1068,10.0,0,0
LAYER,0.742,0,6.9,0.742,0.513,412.0,1839,16.0,0,0
DRIFT,0.676,0,25.4,2.022,1.663,71.0,35683,205.0,0,0
ALGO,0.675,0,6.7,0.751,0.662,236.0,1545,14.0,0,0
ME,0.673,0,16.0,0.707,0.649,265.0,3940,42.0,0,0
TAO,0.646,0,10.1,0.755,0.896,255.0,2757,28.0,0,0
SONIC,0.617,0,4.4,0.949,0.332,129.0,2512,12.0,0,0
INJ,0.609,0,19.3,0.683,1.75,176.0,8121,68.0,0,0
LINEA,0.608,0,3.6,0.613,0.256,238.0,1172,10.0,0,0
BIO,0.6,0,12.7,0.6,0.613,500.0,4742,41.0,0,0
ZKP,0.598,0,2.3,0.598,0.264,399.0,806,4.0,0,0
ZRO,0.587,0,2.8,0.587,0.384,489.0,1051,7.0,0,0
ATH,0.582,0,11.0,0.613,0.615,485.0,2700,29.0,0,0
KAITO,0.575,0,8.4,0.621,0.936,55.0,3930,26.0,0,0
SAHARA,0.566,0,41.1,1.154,2.04,99.0,18543,167.0,0,0
SOMI,0.56,0,6.9,0.795,0.785,170.0,4811,37.0,0,0
LA,0.556,0,10.9,1.698,2.193,265.0,8885,64.0,0,0
IP,0.547,0,12.3,0.551,0.993,617.0,5233,35.0,0,0
FF,0.546,0,6.3,1.053,0.729,488.0,1391,16.0,0,0
ZBT,0.543,0,6.0,0.575,0.478,217.0,2054,18.0,0,0
AKT,0.524,0,33.9,1.196,1.787,103.0,26882,183.0,0,0
ALT,0.524,0,5.7,0.524,0.384,194.0,2060,17.0,0,0
B3,0.519,0,5.9,0.519,0.196,106.0,2082,12.0,0,0
API3,0.519,0,3.7,1.137,0.698,79.0,1843,12.0,0,0
AAVE,0.507,0,3.2,0.507,0.572,1689.0,1800,12.0,0,0
AVNT,0.497,0,8.1,0.498,0.771,384.0,2120,22.0,0,0
RED,0.491,0,13.4,0.671,1.204,165.0,6007,49.0,0,0
BREV,0.486,0,3.5,0.486,0.499,486.0,859,7.0,0,0
POL,0.483,0,4.2,0.548,0.364,323.0,922,8.0,0,0
SAND,0.477,0,4.8,0.477,0.5,238.0,1642,11.0,0,0
LPT,0.474,0,7.1,0.536,0.247,284.0,3396,22.0,0,0
TRUMP,0.469,0,4.3,0.469,0.44,313.0,2303,13.0,0,0
OPEN,0.459,0,14.9,0.742,0.894,89.0,6680,49.0,0,0
DOT,0.457,0,2.2,0.643,0.603,147.0,1274,6.0,0,0
CELO,0.45,0,3.4,0.493,0.504,167.0,1030,8.0,0,0
MANTRA,0.437,0,2.7,0.486,0.296,766.0,1060,9.0,0,0
HYPER,0.437,0,3.1,0.437,0.31,257.0,1446,8.0,0,0
ENA,0.436,0,7.9,0.436,0.376,623.0,1448,19.0,0,0
ORCA,0.433,0,8.4,0.433,0.446,98.0,3842,19.0,0,0
META,0.433,0,2.0,0.433,0.346,127.0,1146,6.0,0,0
ZORA,0.425,0,4.3,0.439,0.253,162.0,1289,11.0,0,0
AZTEC,0.42,0,6.0,0.514,0.423,83.0,2409,12.0,0,0
CHZ,0.42,0,14.9,0.785,2.217,372.0,7364,53.0,0,0
ATOM,0.41,0,5.7,0.41,0.497,819.0,3701,19.0,0,0
STORJ,0.409,0,3.8,0.409,0.429,186.0,1087,11.0,0,0
MBL,0.401,0,1.3,0.401,0.31,175.0,780,4.0,0,0
SEI,0.395,0,8.0,0.395,0.655,77.0,2863,19.0,0,0
BONK,0.395,0,2.8,0.395,0.176,658.0,815,5.0,0,0
GMT,0.365,0,13.9,0.527,0.585,228.0,5184,44.0,0,0
KERNEL,0.353,0,2.8,0.355,0.354,510.0,934,6.0,0,0
TRAC,0.353,0,6.2,0.488,0.519,99.0,4894,33.0,0,0
AXL,0.35,0,2.7,0.484,0.542,117.0,1290,8.0,0,0
BLAST,0.344,0,1.7,0.344,0.133,191.0,1011,4.0,0,0
HBAR,0.343,0,4.4,0.349,0.41,295.0,1391,9.0,0,0
ARKM,0.337,0,4.5,0.442,0.573,591.0,1286,12.0,0,0
BCH,0.337,0,5.3,0.488,1.846,108.0,4050,20.0,0,0
FLOCK,0.332,0,2.6,0.332,0.506,277.0,1942,12.0,0,0
PROVE,0.325,0,7.6,0.325,0.293,162.0,3782,22.0,0,0
WAVES,0.318,0,13.6,1.318,1.693,83.0,14013,84.0,0,0
ICP,0.318,0,4.3,0.318,0.335,227.0,1841,12.0,0,0
SC,0.318,0,0.6,0.318,0.1,455.0,462,2.0,0,0
KAT,0.314,0,3.8,0.315,0.107,144.0,1185,6.0,0,0
PROS,0.301,0,8.6,0.487,0.381,56.0,6600,32.0,0,0
BLUR,0.3,0,2.0,0.3,0.104,231.0,897,4.0,0,0
BARD,0.294,0,3.0,0.545,0.493,194.0,1853,11.0,0,0
AHT,0.294,0,0.9,0.406,0.185,72.0,497,2.0,0,0
OP,0.291,0,1.4,0.665,0.397,346.0,365,4.0,0,0
WCT,0.286,0,2.7,0.311,0.296,280.0,1037,8.0,0,0
UP2,0.283,0,4.4,0.283,0.296,354.0,2560,15.0,0,0
MIRA,0.28,0,1.8,0.28,0.285,140.0,713,4.0,0,0
IRYS,0.277,0,11.0,0.31,0.755,102.0,9236,51.0,0,0
MON,0.272,0,2.8,0.337,0.393,223.0,845,7.0,0,0
ETC,0.268,0,5.4,0.268,0.269,536.0,2460,11.0,0,0
ORDER,0.26,0,4.2,0.566,1.189,67.0,4709,26.0,0,0
WIF,0.259,0,0.8,0.259,0.155,162.0,289,2.0,0,0
SOPH,0.252,0,0.9,0.252,0.193,210.0,455,3.0,0,0
0G,0.251,0,2.5,0.348,0.285,179.0,1097,7.0,0,0
WET,0.251,0,1.5,0.251,0.258,157.0,478,3.0,0,0
PEPE,0.251,0,2.9,0.251,1.222,418.0,1722,9.0,0,0
SKR,0.249,0,0.7,0.374,0.125,199.0,406,1.0,0,0
ONT,0.249,0,3.4,0.34,0.313,72.0,2391,9.0,0,0
AGLD,0.248,0,0.6,0.329,0.131,293.0,331,2.0,0,0
ESP,0.246,0,4.1,0.288,0.242,78.0,1365,8.0,0,0
COMP,0.246,0,2.0,0.288,0.496,255.0,2104,9.0,0,0
MOVE,0.246,0,2.2,0.275,0.129,218.0,1062,6.0,0,0
AXS,0.239,0,3.1,0.239,0.456,184.0,2494,10.0,0,0
APT,0.223,0,3.1,0.266,0.329,372.0,1378,9.0,0,0
BLEND,0.222,0,3.3,0.238,0.618,73.0,2440,14.0,0,0
PENDLE,0.222,0,3.6,0.222,0.157,277.0,1884,10.0,0,0
ZK,0.22,0,2.3,0.254,0.345,441.0,819,6.0,0,0
ORBS,0.219,0,1.5,0.244,0.206,93.0,551,4.0,0,0
ZAMA,0.212,0,3.2,0.212,0.213,212.0,1204,7.0,0,0
W,0.207,0,2.7,0.207,0.171,207.0,976,6.0,0,0
MMT,0.207,0,2.5,0.31,0.309,591.0,683,5.0,0,0
GRT,0.207,0,2.9,0.207,0.193,207.0,1222,7.0,0,0
SYRUP,0.206,0,1.6,0.217,0.182,152.0,821,4.0,0,0
F,0.205,0,1.4,0.205,0.174,205.0,600,4.0,0,0
HP,0.202,0,0.8,0.202,0.173,53.0,1529,3.0,0,0
IOTA,0.202,0,1.1,0.202,0.221,168.0,761,3.0,0,0
FIL,0.2,0,4.1,0.2,0.427,222.0,1347,11.0,0,0
MTL,0.199,0,4.7,0.253,0.927,255.0,2899,14.0,0,0
AVAX,0.198,0,4.5,0.228,0.386,659.0,2336,13.0,0,0
CC,0.198,0,2.7,0.219,0.132,150.0,948,6.0,0,0
WLFI,0.198,0,1.5,0.215,0.543,123.0,1146,6.0,0,0
MVL,0.198,0,0.2,0.198,0.266,64.0,199,1.0,0,0
DOOD,0.195,0,1.2,0.195,0.194,244.0,930,4.0,0,0
QTUM,0.193,0,1.7,0.215,0.34,169.0,845,4.0,0,0
SIGN,0.193,0,2.2,0.193,0.319,483.0,1332,7.0,0,0
BERA,0.19,0,6.2,0.2,0.304,118.0,2855,17.0,0,0
ANIME,0.19,0,1.4,0.303,0.481,417.0,736,4.0,0,0
ZKC,0.186,0,2.0,0.265,0.231,116.0,987,6.0,0,0
ZETA,0.183,0,2.2,0.2,0.159,722.0,1150,5.0,0,0
KNC,0.183,0,3.1,0.187,0.153,61.0,1457,9.0,0,0
SPK,0.182,0,3.7,0.275,0.381,606.0,2341,10.0,0,0
MOODENG,0.181,0,1.5,0.221,0.248,100.0,722,5.0,0,0
CRO,0.18,0,2.0,0.18,0.216,225.0,656,4.0,0,0
BIGTIME,0.179,0,0.8,0.179,0.297,298.0,451,2.0,0,0
A,0.17,0,1.0,0.17,0.098,170.0,564,2.0,0,0
ELSA,0.167,0,1.6,0.235,0.239,607.0,1503,5.0,0,0
BTT,0.167,0,1.1,0.167,0.326,152.0,797,3.0,0,0
IMX,0.16,0,5.4,1.298,2.22,123.0,4388,30.0,0,0
TAIKO,0.158,0,0.9,0.178,0.09,99.0,385,2.0,0,0
ZIL,0.153,0,0.6,0.184,0.11,428.0,637,2.0,0,0
TOSHI,0.151,0,1.5,0.173,0.224,139.0,620,4.0,0,0
DKA,0.15,0,0.7,0.15,0.125,749.0,624,2.0,0,0
GAME2,0.149,0,0.4,0.149,0.103,11.0,993,1.0,0,0
MASK,0.143,0,0.6,0.196,0.54,179.0,421,2.0,0,0
KAVA,0.141,0,1.3,0.146,0.125,301.0,689,4.0,0,0
JUP,0.139,0,1.9,0.181,0.306,695.0,798,8.0,0,0
BOUNTY,0.134,0,0.7,0.134,0.112,121.0,381,2.0,0,0
DEEP,0.134,0,1.4,0.134,0.157,191.0,811,3.0,0,0
PIEVERSE,0.132,0,4.0,0.134,0.523,61.0,3053,12.0,0,0
TIA,0.131,0,2.5,0.215,0.443,264.0,1697,8.0,0,0
XEC,0.129,0,1.0,0.151,0.125,324.0,527,2.0,0,0
NXPC,0.127,0,1.9,0.136,0.195,41.0,1141,5.0,0,0
MLK,0.126,0,0.5,0.129,0.19,147.0,575,1.0,0,0
MOCA,0.126,0,1.0,0.183,0.272,77.0,606,3.0,0,0
HUNT,0.125,0,1.1,0.182,0.222,627.0,493,3.0,0,0
PRL,0.122,0,2.0,0.158,0.433,324.0,1612,10.0,0,0
AERGO,0.122,0,0.9,0.361,0.503,133.0,893,4.0,0,0
RAY,0.118,0,0.9,0.118,0.107,197.0,557,2.0,0,0
UNI,0.118,0,2.0,0.163,0.729,1184.0,1641,8.0,0,0
ASTR,0.117,0,0.5,0.134,0.107,167.0,343,1.0,0,0
GAS,0.116,0,1.5,0.116,0.123,165.0,1044,4.0,0,0
CTC,0.114,0,1.1,0.114,0.242,190.0,893,4.0,0,0
LSK,0.114,0,1.6,0.141,0.394,183.0,1049,6.0,0,0
VET,0.113,0,1.6,0.114,0.181,58.0,1055,5.0,0,0
ENSO,0.112,0,2.4,0.163,0.158,77.0,1713,7.0,0,0
PYTH,0.107,0,2.0,0.126,0.122,178.0,993,5.0,0,0
T,0.106,0,1.0,0.148,0.174,211.0,948,3.0,0,0
BSV,0.104,0,1.4,0.104,0.258,105.0,1327,5.0,0,0
G,0.103,0,0.7,0.103,0.087,114.0,457,2.0,0,0
FLUID,0.103,0,1.1,0.103,0.118,94.0,890,3.0,0,0
POKT,0.101,0,0.7,0.101,0.2,56.0,344,2.0,0,0
NEO,0.1,0,0.9,0.1,0.129,144.0,681,2.0,0,0
MEW,0.1,0,1.0,0.107,0.164,501.0,796,3.0,0,0
MANA,0.1,0,0.6,0.1,0.05,83.0,359,1.0,0,0
IOST,0.1,0,0.7,0.197,0.12,91.0,469,2.0,0,0
BIRB,0.1,0,0.8,0.1,0.197,67.0,1101,3.0,0,0
CYBER,0.098,0,0.5,0.099,0.096,198.0,379,2.0,0,0
ZRX,0.096,0,0.4,0.14,0.114,153.0,336,1.0,0,0
RVN,0.096,0,1.0,0.2,0.184,96.0,873,3.0,0,0
ENS,0.095,0,2.8,0.229,0.298,474.0,1862,11.0,0,0
XCN,0.093,0,0.9,0.093,0.186,85.0,460,2.0,0,0
TREE,0.092,0,1.4,0.092,0.263,115.0,1161,5.0,0,0
AERO,0.091,0,0.8,0.114,0.136,499.0,471,2.0,0,0
CARV,0.09,0,1.2,0.096,0.197,224.0,1002,4.0,0,0
WAL,0.088,0,1.4,0.088,0.147,292.0,520,3.0,0,0
CKB,0.088,0,0.5,0.088,0.057,147.0,427,2.0,0,0
CVC,0.087,0,0.9,0.444,0.383,125.0,1045,4.0,0,0
EDGE,0.087,0,0.8,0.087,0.094,80.0,450,2.0,0,0
TOKAMAK,0.086,0,1.3,0.087,0.129,127.0,1400,3.0,0,0
MINA,0.086,0,0.9,0.086,0.256,57.0,684,3.0,0,0
XTZ,0.086,0,0.5,0.086,0.163,288.0,544,2.0,0,0
JST,0.085,0,0.8,0.085,0.152,142.0,334,2.0,0,0
WAXP,0.085,0,0.3,0.089,0.045,309.0,275,1.0,0,0
THETA,0.085,0,0.7,0.099,0.07,142.0,392,2.0,0,0
SNT,0.084,0,0.5,0.084,0.269,56.0,451,2.0,0,0
POWR,0.081,0,0.9,0.103,0.099,406.0,549,3.0,0,0
ID,0.081,0,1.1,0.127,0.128,346.0,682,4.0,0,0
MOC,0.081,0,0.2,0.081,0.072,51.0,253,1.0,0,0
1INCH,0.08,0,0.4,0.08,0.06,160.0,195,1.0,0,0
