종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
MET2,00:00,-2.37,2.18,4.55,816,0.832,1880431.5
MET2,00:10,0.06,0.58,0.52,195,0.689,1963740.3
MET2,00:20,-0.29,0.41,0.7,166,0.694,1837864.0
MET2,00:30,0.59,0.96,0.38,135,0.791,1744100.9
MET2,00:40,0.45,0.81,0.36,127,0.874,1740489.7
MET2,00:50,0.94,1.74,0.8,428,0.682,1896006.2
MET2,01:00,0.6,1.35,0.75,398,0.769,2096729.6
MET2,01:10,-0.37,0.36,0.73,183,0.774,1946444.2
MET2,01:20,-0.14,0.63,0.77,146,0.62,2055365.5
MET2,01:30,0.04,0.28,0.24,86,0.732,1986089.0
MET2,01:40,-0.0,0.24,0.24,67,0.79,1972599.5
MET2,01:50,-0.04,0.31,0.34,80,0.778,1908820.4
MET2,02:00,0.43,0.54,0.11,87,0.826,2089001.7
MET2,02:10,0.14,0.39,0.25,77,0.783,2090102.0
MET2,02:20,0.44,0.71,0.26,126,0.804,2064597.7
MET2,02:30,0.11,0.85,0.74,210,0.7,2014062.3
MET2,02:40,-0.54,0.57,1.11,140,0.788,1818898.2
MET2,02:50,0.23,0.57,0.35,169,0.759,1938005.7
MET2,03:00,-0.04,0.62,0.66,186,0.758,1958075.3
MET2,03:10,0.0,0.43,0.43,130,0.939,1817361.7
MET2,03:20,-0.1,0.55,0.64,129,0.723,2087894.5
MET2,03:30,0.04,0.39,0.36,102,0.801,1836112.4
MET2,03:40,-0.24,0.16,0.4,69,0.725,1741285.1
MET2,03:50,-0.27,0.4,0.67,118,0.8,1798061.7
MET2,04:00,-0.21,0.21,0.42,86,0.745,1797337.6
MET2,04:10,0.09,0.16,0.07,34,0.786,1836595.5
MET2,04:20,0.21,0.35,0.14,51,0.784,1860027.4
MET2,04:30,-0.09,0.19,0.28,52,0.674,2135817.0
MET2,04:40,0.42,0.65,0.24,110,0.654,2045469.0
MET2,04:50,0.35,0.82,0.46,118,0.609,1866959.8
MET2,05:00,0.37,0.57,0.2,141,0.668,1925973.0
MET2,05:10,-0.17,0.25,0.42,116,0.804,1697194.4
MET2,05:20,-0.53,0.42,0.95,243,0.816,1819467.4
MET2,05:30,-0.14,0.42,0.56,194,1.097,1447419.7
MET2,05:40,0.1,0.52,0.42,94,0.948,1805292.0
MET2,05:50,-0.18,0.17,0.35,68,0.8,2012456.4
MET2,06:00,-0.09,0.19,0.28,68,0.773,2050749.8
MET2,06:10,-0.0,0.32,0.32,85,0.782,1962027.7
MET2,06:20,0.79,0.92,0.14,162,0.952,1805649.6
MET2,06:30,-0.02,1.02,1.03,260,0.738,2063625.1
MET2,06:40,-0.03,0.24,0.27,87,0.695,2209945.4
MET2,06:50,0.37,0.69,0.31,131,0.69,2189404.0
MET2,07:00,0.03,0.36,0.33,93,0.821,1973147.0
MET2,07:10,-0.3,0.01,0.31,52,0.611,2167760.2
MET2,07:20,-0.16,0.33,0.49,304,0.901,2191871.2
MET2,07:30,-0.02,0.36,0.38,100,0.885,2184397.5
MET2,07:40,-0.64,0.08,0.72,121,0.899,2143593.5
MET2,07:50,0.06,0.28,0.22,291,0.833,2225246.1
MET2,08:00,-0.33,0.46,0.79,187,0.937,2123807.9
MET2,08:10,-0.41,0.3,0.71,145,1.001,2005200.5
MET2,08:20,-0.15,0.16,0.3,84,1.086,1873232.1
MET2,08:30,-0.03,0.11,0.14,67,1.121,1791947.5
MET2,08:40,-0.25,0.09,0.34,70,1.055,1804624.7
MET2,08:50,-0.19,0.22,0.4,104,0.953,1904884.1
MET2,09:00,-0.95,0.38,1.33,200,0.765,2077802.2
MET2,09:10,-0.31,0.83,1.14,185,0.937,1693419.3
MET2,09:20,0.78,2.28,1.49,407,1.381,1144617.3
MET2,09:30,0.62,20.48,19.86,4232,3.261,909829.2
MET2,09:40,-8.48,7.74,16.22,3519,1.826,1174510.4
MET2,09:50,-1.74,13.0,14.74,2979,2.674,1119259.3
MET2,10:00,-5.39,5.47,10.86,2168,2.151,1377337.1
MET2,10:10,-3.47,2.45,5.92,936,1.73,1754882.2
MET2,10:20,0.77,2.24,1.47,532,1.782,1595296.4
MET2,10:30,-0.82,1.75,2.57,534,1.736,1787580.0
MET2,10:40,0.2,1.54,1.34,408,1.329,2246261.0
MET2,10:50,-1.48,1.4,2.88,922,1.325,1643012.4
