종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
WLD,00:00,0.86,4.76,3.9,752,1.966,1134428.2
WLD,00:10,-1.14,2.31,3.45,407,2.452,1040457.8
WLD,00:20,0.7,3.42,2.72,480,1.234,1525094.3
WLD,00:30,-19.25,4.5,23.75,1977,2.756,388020.8
WLD,00:40,-14.64,19.36,34.0,4931,3.174,376712.0
WLD,00:50,-12.0,10.47,22.46,2609,2.477,533935.8
WLD,01:00,-4.65,12.06,16.71,2324,1.902,625911.8
WLD,01:10,-3.45,14.75,18.2,2089,1.288,687916.9
WLD,01:20,-0.88,6.4,7.28,1204,1.358,620728.8
WLD,01:30,-7.13,7.92,15.05,1651,1.598,656873.5
WLD,01:40,-2.22,6.53,8.75,1172,2.046,518737.9
WLD,01:50,-2.62,3.16,5.78,771,2.281,538120.8
WLD,02:00,-0.42,4.62,5.03,582,2.744,430215.8
WLD,02:10,-1.84,5.75,7.59,660,1.814,501801.4
WLD,02:20,-3.0,2.82,5.82,827,1.306,765401.2
WLD,02:30,-0.51,2.24,2.75,384,2.247,557297.2
WLD,02:40,-0.36,1.56,1.92,330,1.494,633483.5
WLD,02:50,0.58,1.91,1.33,210,1.266,800648.4
WLD,03:00,-0.56,2.2,2.76,259,0.996,942857.5
WLD,03:10,-0.29,1.26,1.55,213,0.949,1180240.4
WLD,03:20,-0.96,0.37,1.33,225,0.936,1170769.2
WLD,03:30,-1.17,1.09,2.26,230,1.125,1162291.4
WLD,03:40,-1.31,0.5,1.81,347,1.228,1131825.0
WLD,03:50,3.01,4.19,1.18,176,1.775,656431.6
WLD,04:00,0.01,1.25,1.24,186,1.305,731914.4
WLD,04:10,-1.03,0.91,1.94,252,1.308,871476.6
WLD,04:20,1.08,1.93,0.86,278,1.42,895947.0
WLD,04:30,0.63,1.83,1.2,204,1.525,870829.4
WLD,04:40,-0.19,1.94,2.13,251,1.132,996295.8
WLD,04:50,0.14,0.92,0.78,227,1.073,963555.9
WLD,05:00,1.17,2.82,1.65,252,1.593,826402.1
WLD,05:10,1.37,2.69,1.32,334,1.065,877955.8
WLD,05:20,-0.29,0.91,1.19,191,1.749,689785.7
WLD,05:30,-1.22,1.18,2.4,252,1.594,741898.6
WLD,05:40,-0.94,0.72,1.66,221,1.729,737686.1
WLD,05:50,-3.6,1.0,4.6,425,1.765,742602.3
WLD,06:00,-2.72,1.21,3.93,555,1.849,778083.5
WLD,06:10,-7.66,7.96,15.62,1602,2.934,503284.6
WLD,06:20,-0.35,2.59,2.94,443,3.03,476285.6
WLD,06:30,-2.08,1.01,3.09,455,1.835,732177.1
WLD,06:40,-2.15,3.32,5.47,528,1.306,822855.1
WLD,06:50,-6.22,2.48,8.7,897,1.295,781885.5
WLD,07:00,-0.24,1.99,2.23,365,1.154,933035.7
WLD,07:10,-1.42,2.41,3.83,458,1.951,642766.4
WLD,07:20,-3.01,1.58,4.6,563,1.777,776620.1
WLD,07:30,-1.53,1.3,2.83,343,1.312,953936.8
WLD,07:40,0.51,2.57,2.06,393,1.508,812554.8
WLD,07:50,-0.2,1.4,1.6,306,1.357,931291.7
WLD,08:00,-0.6,1.57,2.16,253,1.511,825868.3
