종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,4.835,6,169.5,5.134,7.814,145.0,67270,889.0,2.709,689461.3
ONDO,4.018,2,104.7,4.018,2.185,220.0,20540,294.0,2.092,1339680.6
TRUMP,3.417,2,83.2,6.17,11.631,129.0,97370,888.0,9.131,6978.1
ENA,2.733,1,33.7,2.91,1.443,210.0,6005,81.0,1.28,10050540.8
BCH,2.036,1,17.4,2.09,0.814,106.0,5522,47.0,2.568,165.3
WAVES,1.755,0,38.0,2.35,2.696,85.0,53008,373.0,2.332,212158.8
XPL,1.632,0,77.9,2.089,1.39,194.0,25085,256.0,1.87,2278892.2
FCT2,1.599,0,11.2,1.9,4.035,149.0,7476,54.0,1.334,18848704.6
ID,1.573,0,48.9,2.641,2.68,340.0,44509,349.0,3.184,2877477.5
CHZ,1.378,0,29.6,3.718,3.542,159.0,14763,140.0,2.974,3058346.2
ENSO,1.358,0,31.7,2.538,3.157,97.0,38843,279.0,3.384,60286.1
HBAR,1.321,0,15.6,1.321,3.662,426.0,3130,36.0,1.978,8021594.2
SAHARA,1.312,0,52.6,1.631,1.993,70.0,38297,273.0,1.929,37719927.6
SUI,1.251,0,25.4,1.251,0.991,137.0,8839,86.0,3.158,157063.6
SOPH,1.242,0,28.1,3.678,4.105,83.0,46301,279.0,6.044,2403476.6
AVNT,1.227,0,11.6,2.928,1.7,239.0,3347,31.0,1.397,1179251.9
PENGU,1.221,0,17.0,1.24,1.768,286.0,2722,39.0,0.505,159064326.5
JUP,1.211,0,4.0,1.218,0.983,155.0,978,9.0,3.657,247912.5
KAT,1.206,0,23.3,1.508,1.265,100.0,9303,75.0,2.304,9769052.4
POL,1.197,0,7.2,1.197,0.804,342.0,1872,18.0,1.916,2938369.4
NEAR,1.191,0,64.1,1.747,1.265,114.0,23897,221.0,4.474,29589.8
LINK,1.158,0,11.4,1.179,2.226,706.0,4071,33.0,13.688,4453.4
ASTR,1.098,0,18.1,2.379,2.654,53.0,22839,134.0,3.158,5182532.2
RENDER,1.088,0,10.0,1.25,1.205,140.0,3171,27.0,4.571,17514.5
STRAX,0.999,0,15.8,1.257,1.265,85.0,11985,66.0,1.751,20371103.2
DOOD,0.937,0,13.0,1.886,2.926,74.0,18671,113.0,2.715,24345022.6
AVAX,0.909,0,8.4,0.94,0.524,270.0,3452,25.0,2.162,9057.4
TOKAMAK,0.838,0,6.8,1.197,0.593,109.0,9009,36.0,5.362,39594.1
BLAST,0.798,0,15.9,4.653,3.897,59.0,20613,118.0,4.961,144467652.5
ZBT,0.78,0,28.3,0.785,1.401,272.0,9649,86.0,2.247,1249429.4
DOT,0.767,0,3.1,0.767,0.548,852.0,1181,12.0,6.402,23793.4
ALT,0.754,0,5.8,0.827,0.277,429.0,2789,18.0,1.599,8183254.7
BERA,0.732,0,9.3,0.74,0.744,299.0,2843,29.0,1.789,351698.3
CBK,0.732,0,2.5,0.928,0.46,79.0,3205,13.0,1.13,261932.8
ORCA,0.721,0,9.8,1.626,1.703,93.0,12288,77.0,5.215,20414.6
BIO,0.675,0,8.2,0.684,0.384,257.0,3084,18.0,1.792,1638187.7
ZRO,0.673,0,13.7,0.681,0.766,104.0,8630,60.0,6.199,16868.2
SEI,0.632,0,11.6,0.632,0.313,371.0,4007,27.0,2.136,1764201.3
VIRTUAL,0.602,0,20.9,1.115,1.889,374.0,8147,72.0,2.621,141449.6
PYTH,0.596,0,19.8,0.837,0.719,245.0,8266,65.0,2.306,1264076.3
TAO,0.584,0,6.3,0.697,0.553,139.0,2348,18.0,2.992,98.8
MOVE,0.581,0,14.6,0.72,0.515,226.0,5000,42.0,1.301,19221136.5
STORJ,0.581,0,1.3,0.581,0.21,116.0,524,3.0,1.072,1583006.6
ATOM,0.576,0,9.0,0.583,0.39,58.0,4159,22.0,4.578,6790.5
