종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,7.523,24,307.4,11.373,16.315,231.0,222865,3124.0,10.577,197104.0
NEAR,4.759,2,86.0,4.907,4.41,380.0,42239,387.0,4.519,34646.7
ONDO,3.255,2,108.9,3.636,4.805,402.0,39576,529.0,17.12,193267.8
MOVE,1.82,0,75.5,1.82,1.052,3640.0,6906,138.0,1.909,7559137.4
KERNEL,1.586,0,3.4,1.632,0.176,645.0,1280,6.0,4.348,723083.9
PENGU,1.569,0,33.2,1.975,1.94,205.0,8600,104.0,3.095,19082394.5
FF,1.32,0,9.9,1.417,1.314,229.0,3592,30.0,1.104,2128006.6
SUI,1.266,0,57.7,1.267,1.444,264.0,24215,240.0,6.147,68607.5
ENA,1.23,0,56.2,1.268,2.017,181.0,12889,186.0,2.282,4386648.3
XAUT,1.159,0,3.9,1.164,0.193,126.0,1163,6.0,3.203,10.5
ATH,1.135,0,7.9,1.14,0.549,603.0,3468,23.0,3.025,9230936.6
ARDR,1.128,0,21.7,2.094,1.974,80.0,48711,201.0,8.529,368821.7
ZBT,1.107,0,12.5,1.146,1.521,312.0,5216,41.0,1.678,856738.1
VIRTUAL,1.103,0,26.3,1.233,1.297,487.0,13219,121.0,4.325,85095.7
HBAR,1.081,0,20.1,1.081,2.429,1201.0,4742,56.0,1.316,10535148.0
STX,1.039,0,15.2,1.039,0.498,118.0,5734,40.0,2.67,606701.1
CFG,1.029,0,15.3,1.183,1.304,956.0,4083,50.0,4.297,315611.0
XPL,1.026,0,45.5,1.141,2.786,286.0,16339,202.0,1.519,3157681.1
SAND,0.969,0,12.2,0.982,1.288,212.0,6202,49.0,4.244,996146.3
WAL,0.9,0,8.5,0.902,0.337,226.0,3684,22.0,3.843,752646.4
LINK,0.859,0,18.3,1.067,1.068,94.0,9925,68.0,4.905,5237.5
IN,0.854,0,17.1,0.974,1.273,179.0,20275,77.0,3.593,1079132.5
BCH,0.823,0,33.3,2.202,1.633,134.0,18863,165.0,7.581,60.9
SPK,0.806,0,5.3,0.812,0.322,170.0,1851,12.0,2.659,2473327.9
AAVE,0.803,0,10.8,0.987,0.569,118.0,5889,42.0,5.291,382.3
FIL,0.803,0,12.4,0.837,1.822,218.0,8890,51.0,5.689,32206.5
AVAX,0.798,0,16.2,1.177,1.007,167.0,10068,73.0,4.883,4199.9
SHIB,0.794,0,22.3,1.143,1.168,241.0,16824,93.0,4.693,29654917596.5
