종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,6.913,8,200.1,11.257,8.382,218.0,94864,1290.0,4.731,353567.4
SAHARA,4.515,1,126.1,9.363,8.867,117.0,110539,969.0,2.442,15416075.3
STRAX,2.963,4,85.7,5.944,3.439,47.0,99684,640.0,4.185,8886263.2
AERGO,2.942,1,14.1,5.377,2.607,88.0,17315,116.0,5.696,595378.8
NEAR,2.391,1,64.0,2.587,2.798,163.0,30651,282.0,3.191,31324.5
HIVE,2.383,1,13.4,4.394,3.055,62.0,18304,110.0,4.705,336732.5
OP,2.079,1,7.1,2.681,0.602,255.0,836,12.0,5.928,696748.6
BLEND,1.899,0,53.2,2.774,2.359,84.0,57582,347.0,14.189,75446.2
MOVE,1.704,0,41.7,4.389,4.388,110.0,27389,251.0,2.057,17724103.9
B3,1.547,0,48.0,3.102,3.32,82.0,69279,452.0,3.932,36565084.3
SHIB,1.497,0,14.1,1.507,1.126,893.0,8165,45.0,3.104,22810123700.4
ONDO,1.489,0,73.1,3.297,2.505,203.0,21957,298.0,4.459,806189.7
BCH,1.365,0,25.4,2.14,1.814,171.0,11956,85.0,2.263,309.5
KAT,1.325,0,36.9,1.379,1.61,119.0,38245,228.0,5.162,2609972.9
PENGU,1.255,0,12.4,1.255,0.718,784.0,3085,32.0,0.586,106541704.8
WLFI,1.155,0,19.9,1.623,3.14,130.0,11023,92.0,3.018,521276.7
ID,1.123,0,26.9,4.078,3.638,77.0,39368,282.0,4.077,1216340.6
LINK,1.117,0,12.5,1.457,0.633,240.0,4785,34.0,3.969,8154.1
POKT,1.101,0,13.5,1.966,1.07,70.0,10197,55.0,1.195,22236001.4
CC,1.098,0,19.2,1.11,1.32,311.0,5630,58.0,2.639,726757.2
CHZ,0.991,0,35.9,0.992,2.576,331.0,13719,132.0,2.453,3949440.6
ATH,0.963,0,4.7,1.128,0.425,369.0,1632,13.0,2.427,6319016.4
JTO,0.953,0,23.2,1.286,1.536,235.0,9647,90.0,2.452,112046.5
ENA,0.945,0,26.3,0.981,1.877,726.0,8492,100.0,1.23,9242938.5
AVNT,0.923,0,12.7,1.072,0.658,133.0,4354,39.0,1.33,1425675.4
SENT,0.921,0,25.5,1.259,1.435,69.0,23645,146.0,3.459,3264312.0
LA,0.894,0,22.7,1.143,0.932,179.0,4988,58.0,1.894,1988359.0
IP,0.862,0,20.5,1.003,1.881,149.0,12944,94.0,4.345,278636.1
WAL,0.853,0,14.3,1.704,2.559,71.0,17099,102.0,3.61,769235.1
BIO,0.842,0,9.5,0.902,0.627,209.0,3691,31.0,2.133,1440343.4
CHIP,0.796,0,22.3,0.813,1.457,198.0,9855,90.0,4.352,1368081.4
XPL,0.751,0,18.7,0.763,0.939,596.0,6680,67.0,2.286,2029656.9
SUI,0.737,0,28.9,0.779,1.111,321.0,10714,99.0,3.503,132807.1
ALGO,0.721,0,5.2,0.721,0.58,515.0,1595,13.0,3.086,1310215.4
AVAX,0.701,0,7.8,0.701,0.54,195.0,4278,31.0,2.794,5998.0
ORBS,0.691,0,6.3,1.509,0.927,68.0,7202,34.0,6.294,1727991.1
VIRTUAL,0.687,0,12.6,0.716,0.765,229.0,5109,49.0,2.549,150780.6
SOON,0.672,0,7.6,0.681,0.671,216.0,2903,28.0,0.891,1445937.5
MANTRA,0.662,0,20.3,1.161,1.293,109.0,14500,105.0,0.99,19349858.8
ARDR,0.659,0,6.7,1.231,0.834,35.0,10900,42.0,5.888,598599.2
ZBT,0.638,0,20.3,0.643,0.935,259.0,9591,71.0,1.82,789265.8
DEEP,0.624,0,3.9,0.627,0.579,273.0,1698,12.0,4.667,1714918.0
PEPE,0.623,0,8.3,1.118,0.581,445.0,2633,21.0,4.737,24245759694.0
IRYS,0.617,0,14.3,0.643,0.733,209.0,7404,51.0,2.012,5484185.8
STORJ,0.6,0,2.4,0.606,0.195,197.0,766,5.0,1.638,1286526.8
XAUT,0.529,0,2.6,0.529,0.608,1059.0,2397,11.0,5.567,10.3
AWE,0.527,0,4.8,0.591,0.307,45.0,2337,11.0,2.981,1767920.7
SPK,0.51,0,12.6,0.896,1.693,160.0,6658,53.0,2.864,3416611.8
SAND,0.485,0,7.6,0.485,0.812,147.0,3450,22.0,2.777,1041313.4
W,0.479,0,5.5,0.479,0.472,252.0,1182,13.0,2.45,11367965.5
FCT2,0.477,0,4.5,1.316,1.431,74.0,4644,29.0,1.787,2680393.2
POL,0.469,0,4.9,0.469,0.514,390.0,1712,12.0,1.268,4121922.5
OPEN,0.462,0,6.6,0.468,0.972,75.0,3197,20.0,1.695,353515.5
FF,0.457,0,8.7,0.457,1.04,163.0,3789,28.0,1.863,1656464.2
FLUID,0.456,0,4.4,1.753,2.535,76.0,12614,71.0,6.589,7629.9
TRUMP,0.451,0,4.3,0.594,0.594,567.0,2324,13.0,4.967,9553.9
TREE,0.449,0,7.3,0.99,1.477,84.0,7078,39.0,3.997,307199.6
CPOOL,0.44,0,8.8,0.599,0.59,119.0,5474,26.0,1.305,2282147.7
MOC,0.431,0,2.4,0.689,0.388,99.0,2283,11.0,1.392,1198989.0
AZTEC,0.418,0,1.9,0.458,0.273,552.0,1041,8.0,1.712,3371955.0
ETC,0.408,0,6.6,0.428,0.346,224.0,2826,15.0,2.066,7509.3
HBAR,0.401,0,8.8,0.444,0.824,71.0,3089,22.0,1.278,10836309.9
TAO,0.4,0,8.0,0.436,0.449,675.0,2960,23.0,3.222,112.2
ZORA,0.4,0,3.7,0.4,0.289,222.0,1038,10.0,0.98,16729461.8
ME,0.398,0,9.1,0.435,0.499,153.0,4343,34.0,6.304,244457.4
SIGN,0.394,0,4.9,0.394,0.563,232.0,1312,11.0,1.496,14293859.3
INJ,0.392,0,7.1,0.396,0.46,167.0,3252,26.0,3.332,2783.4
KITE,0.392,0,4.5,0.392,0.5,490.0,2484,15.0,0.96,706070.8
AQT,0.389,0,2.4,0.542,0.562,134.0,2739,12.0,3.94,46956.7
ELSA,0.388,0,5.8,0.716,1.397,55.0,17356,51.0,3.573,367727.6
IN,0.385,0,11.0,0.385,0.599,214.0,3388,27.0,0.817,4058744.0
FLOCK,0.385,0,4.1,0.385,0.227,241.0,2269,13.0,0.933,895125.7
DOOD,0.376,0,4.1,0.376,0.321,104.0,3524,19.0,5.439,15767730.4
VVV,0.375,0,10.0,0.399,0.574,128.0,5313,43.0,2.59,3173.4
TRAC,0.367,0,2.8,0.39,0.192,112.0,2264,10.0,2.304,63507.7
SKR,0.366,0,6.5,0.768,1.127,366.0,6120,34.0,3.651,3203761.9
HYPER,0.363,0,10.2,0.365,0.842,73.0,5100,32.0,1.342,1456432.8
MEGA,0.358,0,7.0,0.358,0.363,299.0,3842,26.0,2.73,689394.3
