종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,6.388,22,290.0,7.803,14.263,135.0,144639,1898.0,2.894,413568.0
MOVE,4.833,5,144.3,8.21,10.531,107.0,51481,774.0,2.447,13323015.4
OP,3.575,1,5.7,4.358,1.31,668.0,936,18.0,7.834,436396.6
NEAR,2.927,3,104.4,2.968,3.681,212.0,50474,486.0,4.656,31873.5
ONDO,2.403,1,111.3,3.007,2.79,176.0,28582,387.0,4.18,848656.8
ENA,1.954,0,37.8,2.509,4.012,257.0,9025,115.0,1.565,7110663.1
SAHARA,1.94,0,58.9,2.179,1.292,159.0,33798,306.0,1.281,4768874.1
JTO,1.739,0,51.5,2.576,2.729,187.0,26435,270.0,2.013,127901.5
BCH,1.416,0,21.0,1.567,2.29,140.0,18019,124.0,8.557,80.4
BIO,1.416,0,22.3,1.806,2.772,145.0,14009,131.0,2.72,1358953.9
SUI,1.32,0,36.5,3.245,2.018,110.0,15773,152.0,3.416,117800.3
VVV,1.16,0,16.4,1.456,1.324,119.0,6540,62.0,2.884,1733.2
WIF,1.119,0,1.5,1.346,0.36,656.0,361,3.0,1.182,155247.9
HBAR,1.067,0,8.7,2.859,1.792,358.0,3014,29.0,1.337,10929210.6
SHIB,1.038,0,14.4,1.038,0.586,216.0,6343,37.0,2.448,24972890055.7
AKT,1.007,0,10.9,1.018,0.389,143.0,4782,31.0,2.453,42230.8
ZBT,0.948,0,19.3,1.005,0.916,204.0,8791,81.0,1.345,1468155.8
PENGU,0.874,0,17.9,0.874,0.969,364.0,2854,38.0,0.928,127813682.2
TRAC,0.839,0,17.9,2.123,2.097,49.0,27047,153.0,3.543,72104.1
IP,0.77,0,19.2,1.187,0.816,150.0,9439,75.0,6.43,159022.2
DOT,0.748,0,3.9,0.748,0.487,440.0,1156,7.0,3.454,22565.7
MEGA,0.721,0,19.3,0.913,1.042,101.0,11708,86.0,2.913,1002939.4
RENDER,0.718,0,9.2,0.723,0.638,202.0,4377,27.0,2.757,25806.1
ATH,0.669,0,9.4,0.985,0.788,79.0,3944,32.0,3.165,5372865.6
SEI,0.66,0,9.6,0.66,0.842,825.0,4056,32.0,2.833,735347.1
AERGO,0.636,0,14.4,0.946,1.044,109.0,16737,65.0,2.884,590325.5
VIRTUAL,0.631,0,15.5,0.895,0.632,175.0,6280,60.0,2.454,143693.6
AXS,0.624,0,5.6,0.624,0.573,231.0,2391,13.0,2.115,40206.5
ICP,0.622,0,8.4,0.622,0.596,518.0,2714,29.0,1.969,13544.5
CHZ,0.599,0,14.0,0.699,0.58,547.0,5199,39.0,2.885,4813335.6
CFG,0.587,0,9.0,0.619,0.971,128.0,2899,30.0,3.912,277517.2
ZAMA,0.57,0,3.9,0.628,1.057,137.0,1707,14.0,2.405,385994.8
ALGO,0.562,0,4.5,0.706,0.832,266.0,1723,12.0,3.761,1302357.5
XPL,0.546,0,11.6,0.58,0.504,361.0,3670,30.0,0.592,9306956.2
