종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
WLD,00:00,-0.08,3.63,3.7,446,1.308,1384017.0
WLD,00:10,-0.29,3.46,3.75,437,1.009,1450345.4
WLD,00:20,-1.54,1.44,2.98,376,1.42,1374664.1
WLD,00:30,-7.35,1.76,9.11,984,2.921,679585.9
WLD,00:40,-3.82,1.46,5.27,670,2.665,631454.7
WLD,00:50,-1.5,1.44,2.94,355,1.788,931781.7
WLD,01:00,-1.44,4.07,5.51,826,2.348,821514.7
WLD,01:10,0.43,5.05,4.62,680,1.7,962562.5
WLD,01:20,-0.49,1.34,1.83,262,2.307,747356.2
WLD,01:30,-0.32,1.3,1.62,165,1.969,841628.6
WLD,01:40,-1.74,0.81,2.54,216,1.898,859023.0
WLD,01:50,0.67,1.41,0.75,137,2.067,854188.1
WLD,02:00,-0.67,0.84,1.51,170,1.728,910734.0
WLD,02:10,1.81,2.97,1.16,277,1.162,1204396.7
WLD,02:20,-0.33,1.15,1.48,156,1.603,978699.2
WLD,02:30,0.61,1.32,0.71,84,1.379,1068458.9
WLD,02:40,0.7,1.12,0.41,127,0.946,1389535.2
WLD,02:50,-0.47,0.41,0.88,131,1.008,1262206.4
WLD,03:00,-0.54,0.94,1.48,232,1.437,1108587.8
WLD,03:10,-1.45,0.33,1.78,226,1.566,1063471.0
WLD,03:20,-0.07,0.54,0.62,219,1.831,968774.6
WLD,03:30,-1.69,0.35,2.04,269,1.647,1100895.7
WLD,03:40,-0.44,0.48,0.92,108,1.406,1179232.5
WLD,03:50,-1.06,0.43,1.49,147,1.69,1083175.6
WLD,04:00,0.25,0.75,0.5,88,1.668,1092091.2
WLD,04:10,-0.01,0.34,0.35,91,1.422,1156659.4
WLD,04:20,0.34,0.98,0.64,89,1.724,1072411.1
WLD,04:30,-0.12,0.43,0.55,97,1.321,1262017.4
WLD,04:40,-0.26,0.47,0.73,97,1.494,1225491.5
WLD,04:50,-0.53,0.39,0.92,100,1.737,1128777.5
WLD,05:00,-0.63,0.4,1.04,97,1.705,1134795.9
WLD,05:10,0.48,0.73,0.26,82,1.8,1107959.5
WLD,05:20,-0.03,0.27,0.3,106,1.867,1116031.8
WLD,05:30,-0.29,0.94,1.23,146,1.759,1111214.1
WLD,05:40,-0.98,1.03,2.01,306,1.774,1085234.1
WLD,05:50,-0.33,1.09,1.42,194,1.641,1148176.2
WLD,06:00,-2.72,0.73,3.45,528,2.208,880480.3
WLD,06:10,0.05,1.14,1.08,244,1.454,1225256.5
WLD,06:20,0.0,0.31,0.3,101,1.755,1069375.5
WLD,06:30,-0.17,0.59,0.76,134,1.817,1045985.5
WLD,06:40,-0.6,0.86,1.46,254,1.694,1164924.8
WLD,06:50,-1.59,1.59,3.18,429,1.904,1082979.5
WLD,07:00,0.77,1.37,0.6,230,2.052,990164.1
WLD,07:10,-0.21,0.48,0.7,108,1.5,1312685.8
WLD,07:20,-0.19,0.49,0.68,137,1.416,1305982.8
WLD,07:30,-1.39,0.57,1.96,345,1.571,1164818.0
WLD,07:40,-1.69,0.64,2.32,314,1.664,1099202.8
WLD,07:50,-0.05,0.72,0.78,204,1.843,1082564.5
WLD,08:00,-2.5,1.56,4.05,676,1.442,1031514.6
WLD,08:10,-1.8,1.56,3.35,452,1.561,998348.5
WLD,08:20,-1.53,1.61,3.14,423,1.307,1098747.2
WLD,08:30,-0.45,1.73,2.18,317,2.175,796395.6
WLD,08:40,-1.96,1.14,3.1,300,1.55,1036124.1
WLD,08:50,-1.12,1.63,2.76,385,2.527,862891.7
WLD,09:00,-8.32,2.6,10.92,1105,1.934,860544.4
WLD,09:10,-0.2,2.11,2.31,364,1.647,998260.4
WLD,09:20,-0.22,1.63,1.85,303,1.713,924716.0
WLD,09:30,1.16,3.92,2.77,606,1.307,1158329.9
WLD,09:40,-1.52,3.98,5.5,823,1.136,1305354.6
WLD,09:50,0.4,5.18,4.77,762,0.82,1431042.1
WLD,10:00,2.35,8.43,6.08,1045,0.529,1850609.8
WLD,10:10,-0.81,5.06,5.87,887,0.458,1734098.2
WLD,10:20,0.93,4.73,3.8,726,0.318,2512414.1
WLD,10:30,3.81,8.2,4.39,1073,0.358,2353788.3
WLD,10:40,0.03,4.08,4.05,652,0.461,2329482.6
WLD,10:50,-1.04,2.84,3.88,597,0.692,1962254.0
WLD,11:00,-1.96,3.64,5.6,589,0.742,1953764.3
WLD,11:10,-0.1,4.09,4.18,642,0.603,2489842.6
WLD,11:20,0.39,2.65,2.26,524,0.631,2596045.2
WLD,11:30,-0.95,2.54,3.48,485,0.496,2525581.5
WLD,11:40,-0.37,2.07,2.44,452,0.626,2101560.5
WLD,11:50,1.1,4.58,3.49,646,0.599,2211611.1
WLD,12:00,0.51,1.94,1.43,384,0.653,2398885.5
WLD,12:10,-3.1,0.86,3.96,398,0.765,1823707.2
WLD,12:20,0.09,1.46,1.36,279,0.735,2263443.8
WLD,12:30,2.13,3.0,0.87,319,0.852,2150252.7
WLD,12:40,-0.29,1.34,1.63,265,0.694,2491639.2
WLD,12:50,1.16,2.22,1.07,263,0.654,2529073.8
WLD,13:00,-3.02,1.44,4.46,406,0.668,2048427.7
WLD,13:10,-4.76,0.94,5.7,562,0.58,1858067.8
WLD,13:20,-3.27,2.67,5.94,725,0.809,1774737.4
WLD,13:30,-0.69,2.24,2.92,343,0.768,1964853.2
WLD,13:40,0.92,4.04,3.12,343,0.627,2181805.1
WLD,13:50,-0.33,1.1,1.43,219,0.802,2128536.8
WLD,14:00,-2.89,1.97,4.86,523,0.838,1757473.9
WLD,14:10,-0.79,1.43,2.22,291,0.715,1942314.6
WLD,14:20,0.41,1.18,0.77,170,0.776,2050220.3
WLD,14:30,0.07,1.35,1.29,233,0.883,1792343.8
WLD,14:40,1.27,2.13,0.87,195,0.856,1870483.8
WLD,14:50,0.66,1.83,1.17,217,0.727,2113033.0
WLD,15:00,4.03,5.34,1.31,428,0.636,2085015.2
WLD,15:10,-1.01,0.97,1.99,439,0.987,1608187.2
WLD,15:20,-0.89,1.62,2.51,485,1.318,1371542.7
WLD,15:30,-1.0,0.98,1.98,287,0.941,1572818.9
WLD,15:40,0.65,1.56,0.9,216,0.995,1604020.5
WLD,15:50,0.76,3.0,2.24,387,0.666,2264657.3
WLD,16:00,-0.41,1.27,1.67,266,0.758,2027962.2
WLD,16:10,0.52,2.03,1.51,353,0.916,1980044.2
WLD,16:20,9.08,13.27,4.18,1215,0.468,2709357.4
WLD,16:30,1.21,14.82,13.61,1542,0.56,2756256.4
WLD,16:40,-1.11,5.8,6.91,959,0.706,2622178.7
WLD,16:50,-2.41,4.27,6.67,683,0.823,2442974.1
WLD,17:00,-1.77,1.91,3.68,683,0.821,2309997.1
WLD,17:10,0.86,3.94,3.07,508,0.927,2657094.6
WLD,17:20,-5.06,4.18,9.23,837,0.713,2838835.3
WLD,17:30,3.81,8.38,4.56,807,0.639,2894759.2
WLD,17:40,-3.1,2.6,5.7,806,0.881,2435549.7
WLD,17:50,-2.12,1.47,3.59,408,0.872,2562835.8
WLD,18:00,-1.97,2.0,3.96,509,0.745,2680800.4
WLD,18:10,-3.77,2.1,5.87,586,0.482,2751444.6
WLD,18:20,0.52,1.22,0.7,203,0.679,2548225.9
WLD,18:30,-0.24,1.83,2.07,366,0.663,2665863.2
WLD,18:40,-0.22,0.7,0.93,214,0.724,2590574.3
WLD,18:50,-0.42,1.01,1.43,286,0.617,2701816.4
WLD,19:00,-1.14,0.58,1.73,286,0.551,2891405.4
WLD,19:10,0.51,4.14,3.63,384,0.576,2804655.8
WLD,19:20,5.27,7.89,2.61,709,0.581,3120568.2
WLD,19:30,-1.12,1.02,2.14,323,0.751,2810617.9
WLD,19:40,-4.01,1.27,5.28,465,0.701,2586788.4
WLD,19:50,-0.32,1.34,1.66,269,0.637,2492548.1
WLD,20:00,1.14,1.93,0.79,254,0.486,2958539.1
WLD,20:10,-0.24,2.11,2.36,300,0.704,3010098.5
WLD,20:20,-2.38,3.52,5.9,552,0.485,2910444.0
WLD,20:30,-0.58,1.97,2.55,338,0.468,2863561.8
WLD,20:40,-0.21,0.58,0.79,254,0.468,2916078.6
WLD,20:50,-0.77,1.18,1.96,447,0.507,2892994.1
WLD,21:00,11.59,20.31,8.72,1892,0.779,2390267.8
WLD,21:10,-7.77,3.13,10.89,771,0.625,2387906.0
WLD,21:20,2.08,4.44,2.37,682,0.652,2477466.6
WLD,21:30,0.28,2.43,2.15,583,0.545,2685433.6
WLD,21:40,0.1,3.77,3.67,544,0.54,2510190.0
WLD,21:50,-0.87,2.1,2.97,455,0.503,2637901.1
WLD,22:00,6.83,14.41,7.57,1781,0.566,2328834.6
WLD,22:10,-1.76,3.47,5.23,733,0.528,2279292.5
WLD,22:20,-3.71,2.39,6.1,900,0.586,2070960.6
WLD,22:30,0.28,4.04,3.76,665,0.656,2180981.3
WLD,22:40,-1.58,2.08,3.66,569,0.76,2108377.9
WLD,22:50,1.6,3.79,2.2,423,0.658,2344267.8
WLD,23:00,0.08,2.56,2.48,467,0.426,3060653.2
WLD,23:10,0.05,2.51,2.46,344,0.503,2728868.4
