종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
WLD,00:00,0.93,5.91,4.99,819,1.769,1247782.4
WLD,00:10,2.43,6.61,4.17,789,1.206,1241973.8
WLD,00:20,-0.87,3.0,3.86,496,1.255,1383274.1
WLD,00:30,4.5,6.4,1.9,668,0.965,1430100.1
WLD,00:40,-1.12,2.33,3.45,516,0.978,1597102.0
WLD,00:50,-0.85,2.26,3.11,441,0.969,1728527.4
WLD,01:00,-3.39,1.73,5.12,684,1.639,1499012.6
WLD,01:10,-4.09,2.46,6.55,895,2.032,1172165.6
WLD,01:20,-11.97,3.14,15.11,1659,2.41,1036475.1
WLD,01:30,-1.58,4.52,6.11,777,2.826,875471.2
WLD,01:40,-1.82,2.34,4.16,771,1.66,1360313.5
WLD,01:50,-0.42,2.7,3.12,547,1.957,1159823.4
WLD,02:00,-0.31,1.83,2.14,402,1.955,1131109.0
WLD,02:10,-1.36,1.0,2.36,378,2.046,1164635.0
WLD,02:20,-5.08,1.8,6.88,1007,1.969,1120979.1
WLD,02:30,-2.59,1.89,4.48,638,2.39,902810.6
WLD,02:40,-1.85,2.01,3.86,672,2.054,1059276.9
WLD,02:50,-2.46,2.89,5.35,870,1.846,923350.1
WLD,03:00,1.26,3.98,2.72,352,1.595,1091096.1
WLD,03:10,5.09,9.05,3.96,802,0.806,1258591.6
WLD,03:20,3.11,6.09,2.97,867,0.505,1705764.5
WLD,03:30,-2.66,1.72,4.38,490,0.881,1261323.1
WLD,03:40,-1.22,1.4,2.62,410,1.333,1214152.6
WLD,03:50,0.97,2.15,1.18,294,0.84,1375752.8
WLD,04:00,1.68,2.95,1.27,450,0.854,1354996.2
WLD,04:10,1.01,3.19,2.18,562,0.55,1876203.2
WLD,04:20,1.0,2.0,1.0,368,0.366,1858113.8
WLD,04:30,-0.41,1.26,1.68,379,0.559,1652641.9
WLD,04:40,-0.82,0.66,1.48,210,0.772,1524110.0
WLD,04:50,-0.16,1.45,1.61,261,0.921,1492705.5
WLD,05:00,-0.58,0.84,1.42,264,1.101,1296923.8
WLD,05:10,-0.21,0.48,0.69,136,0.742,1552520.5
WLD,05:20,-0.36,1.28,1.65,287,0.904,1604973.2
WLD,05:30,-1.03,2.06,3.09,323,0.529,1833188.1
WLD,05:40,-0.25,1.17,1.42,210,0.898,1547665.7
WLD,05:50,-0.93,1.3,2.23,212,0.635,1692319.2
WLD,06:00,-0.69,1.36,2.05,191,0.775,1555080.5
WLD,06:10,-1.1,0.77,1.87,195,0.85,1684179.9
WLD,06:20,2.03,3.21,1.18,232,0.479,1738017.6
WLD,06:30,1.72,4.5,2.78,607,0.531,1686432.6
WLD,06:40,-0.38,2.77,3.15,539,0.502,1709854.8
WLD,06:50,0.8,2.14,1.35,409,0.569,1632904.2
WLD,07:00,0.16,1.91,1.75,354,0.591,1827815.3
WLD,07:10,0.94,3.19,2.26,479,0.787,1527625.0
WLD,07:20,-2.02,1.87,3.89,491,0.606,1636675.5
WLD,07:30,-1.35,1.6,2.95,319,0.587,1629703.3
WLD,07:40,-0.78,0.58,1.36,243,0.657,1652870.3
WLD,07:50,-0.43,1.12,1.54,192,0.585,1765118.4
WLD,08:00,-0.61,1.09,1.69,288,0.815,1465889.3
WLD,08:10,-1.23,0.97,2.2,304,0.66,1658676.7
WLD,08:20,-1.1,2.27,3.37,476,0.803,1347921.1
WLD,08:30,-0.94,2.3,3.25,312,0.858,1309983.7
WLD,08:40,-0.35,0.93,1.27,200,0.873,1287920.4
WLD,08:50,-1.05,1.3,2.35,338,0.919,1375441.6
WLD,09:00,-2.61,7.94,10.54,1240,0.634,1524359.2
