종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,9.344,51,426.3,9.76,14.761,138.0,157594,2170.0,4.421,317513.7
MOVE,8.181,12,144.4,13.676,10.911,104.0,109832,1014.0,2.874,6912379.1
SAHARA,6.199,13,191.6,10.072,17.709,124.0,244830,2213.0,4.348,2210070.8
ONDO,2.737,1,94.9,2.78,1.974,470.0,23928,357.0,3.8,954307.2
JTO,2.252,2,43.5,2.979,1.879,182.0,19276,206.0,2.252,149349.0
LAYER,2.227,1,41.5,2.757,1.361,147.0,24729,157.0,1.284,3646049.9
POKT,2.165,1,12.2,3.057,1.765,109.0,11064,55.0,1.7,7998690.4
NEAR,1.992,0,67.4,2.137,3.452,289.0,32586,304.0,3.609,40596.8
ENA,1.634,0,43.6,2.421,3.062,159.0,11742,153.0,1.291,9037800.1
FIL,1.594,0,6.1,1.61,0.839,84.0,2070,14.0,2.508,46387.6
CPOOL,1.527,0,14.4,1.853,1.347,89.0,20342,106.0,2.77,1233394.1
CHIP,1.475,0,20.2,1.58,1.411,432.0,9765,81.0,2.164,1997669.2
BIO,1.384,0,24.2,1.478,1.32,179.0,11508,106.0,2.08,2835923.2
SUI,1.332,0,26.3,1.59,0.94,543.0,12999,105.0,3.385,120047.5
CC,1.315,0,21.6,2.787,3.124,54.0,15266,108.0,8.984,222626.7
PENGU,1.233,0,12.5,1.239,2.701,223.0,3358,38.0,0.728,109750990.7
BCH,1.209,0,27.6,1.312,1.183,272.0,17593,124.0,4.14,143.1
ME,1.027,0,14.8,1.579,1.404,116.0,15701,105.0,5.672,226562.3
AVAX,0.974,0,10.1,0.982,0.587,396.0,4266,33.0,2.918,6878.8
MOCA,0.912,0,10.0,1.587,1.177,105.0,7609,51.0,2.804,5664583.8
IP,0.9,0,21.9,1.151,1.85,159.0,16356,137.0,5.052,184207.0
ARDR,0.897,0,5.8,1.361,1.33,66.0,8099,28.0,3.89,638916.8
ALGO,0.857,0,4.4,0.858,1.485,374.0,1873,15.0,3.517,1672477.6
IRYS,0.82,0,19.4,2.874,3.249,86.0,18447,115.0,2.557,3400672.7
CHZ,0.778,0,27.2,1.37,1.627,400.0,11983,120.0,2.625,4624721.7
SHIB,0.768,0,10.3,0.771,0.649,59.0,7118,32.0,1.972,55615997624.0
AWE,0.742,0,2.9,0.761,0.184,84.0,1333,7.0,1.512,3848255.7
TAO,0.732,0,7.9,0.862,0.281,762.0,2800,22.0,2.522,271.7
ZORA,0.716,0,7.2,0.914,1.557,222.0,2674,26.0,1.931,15964872.3
XPL,0.706,0,13.1,0.714,1.035,556.0,4799,40.0,0.605,8202127.7
HOLO,0.697,0,3.8,0.697,0.214,317.0,1525,9.0,1.993,468923.5
IN,0.673,0,16.5,0.675,1.424,77.0,7813,57.0,0.953,3132925.4
POL,0.641,0,6.0,0.641,1.3,458.0,1922,18.0,1.434,3034644.0
ZBT,0.62,0,12.5,0.903,0.709,321.0,4953,38.0,1.565,1370133.4
LINK,0.616,0,12.2,0.955,0.786,232.0,4722,36.0,2.193,10397.6
HBAR,0.615,0,8.1,1.044,1.288,559.0,3264,26.0,1.198,11176803.7
LA,0.609,0,9.4,0.609,1.165,234.0,2965,32.0,1.387,2978646.1
SEI,0.604,0,9.0,0.702,0.541,380.0,3886,30.0,2.476,1514560.0
BERA,0.598,0,16.8,1.47,1.797,127.0,8406,69.0,3.887,224111.4
VIRTUAL,0.57,0,14.7,0.597,0.736,356.0,5715,54.0,2.961,153738.3
ARKM,0.563,0,6.4,0.7,0.388,239.0,1594,14.0,1.895,691224.6
SAND,0.554,0,5.0,0.572,0.686,421.0,3738,25.0,3.233,1531796.2
AVNT,0.531,0,9.0,0.531,0.484,379.0,2158,21.0,1.145,1998378.6
STRAX,0.521,0,5.2,0.647,0.254,227.0,3229,15.0,0.798,17449245.5
TIA,0.509,0,1.2,0.533,0.297,429.0,829,4.0,1.535,116849.7
OPEN,0.497,0,14.0,1.182,1.125,294.0,7320,48.0,2.223,291568.3
APT,0.487,0,5.8,0.487,0.374,487.0,2660,18.0,2.638,27672.0
NEWT,0.478,0,2.6,0.621,0.188,174.0,1614,6.0,4.801,430747.6
VVV,0.458,0,9.9,0.5,0.718,1082.0,4725,42.0,3.214,2541.3
FF,0.456,0,6.1,0.456,0.661,217.0,3813,20.0,0.955,1727949.7
KAT,0.445,0,3.2,0.662,0.827,201.0,2268,10.0,4.054,4789131.6
ZRO,0.44,0,6.6,0.591,0.462,880.0,4020,27.0,2.116,67413.8
TRAC,0.439,0,8.4,1.083,1.146,67.0,7616,40.0,3.658,40309.0
SOPH,0.417,0,2.7,0.417,0.238,123.0,1813,8.0,2.343,6199309.8
SENT,0.415,0,9.7,0.501,0.922,154.0,4635,31.0,3.551,2084250.2
AAVE,0.408,0,2.8,0.465,2.126,217.0,1765,11.0,5.503,392.0
MON,0.403,0,3.1,0.42,0.779,398.0,1501,12.0,3.93,2118821.6
SIGN,0.378,0,4.6,0.385,0.278,151.0,1322,14.0,1.465,15738313.9
BREV,0.377,0,1.8,0.424,0.228,196.0,612,4.0,1.458,1144729.5
XAUT,0.375,0,0.9,0.375,0.397,1873.0,752,3.0,3.036,11.4
ZAMA,0.354,0,2.1,0.546,0.585,369.0,1423,7.0,2.645,1320511.2
ARB,0.35,0,4.6,0.478,0.487,148.0,1752,15.0,1.841,2398451.7
