종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,7.887,3,66.8,9.94,2.902,305.0,22466,335.0,3.52,496956.7
B3,3.226,1,19.6,4.701,3.11,110.0,9480,80.0,0.84,374186909.1
ONDO,3.045,1,79.1,3.476,4.539,737.0,32604,447.0,4.24,705592.7
NEAR,2.234,1,70.2,2.368,4.586,218.0,30179,326.0,4.611,24084.2
SUI,2.137,1,33.8,2.724,7.728,285.0,25128,238.0,7.163,71879.7
VIRTUAL,1.993,0,28.3,2.017,2.679,454.0,14835,155.0,6.192,82576.9
PRL,1.956,0,34.5,4.081,3.511,120.0,36602,289.0,3.479,475871.1
SAHARA,1.538,0,24.5,1.749,1.561,69.0,15897,123.0,1.946,4593031.2
ORBS,1.527,0,15.0,2.283,1.198,92.0,8505,62.0,0.618,63425354.8
TRAC,1.5,0,22.6,3.129,1.785,92.0,25101,165.0,3.144,92366.4
SEI,1.465,0,37.4,1.487,1.392,216.0,12815,146.0,0.353,9021981.3
HBAR,1.403,0,13.4,1.403,2.297,540.0,3991,38.0,1.558,10059836.2
IN,1.359,0,25.5,1.362,0.862,161.0,9006,67.0,0.794,5354204.6
MON,1.335,0,8.9,2.585,4.625,285.0,12248,87.0,9.175,1066872.8
LINK,1.176,0,21.2,1.182,3.304,990.0,11323,84.0,4.133,7708.7
PEPE,1.172,0,7.7,1.522,0.724,426.0,3325,25.0,2.455,37883157569.8
JTO,1.141,0,24.9,1.27,1.013,134.0,15165,111.0,2.723,70822.7
XPL,1.124,0,15.6,1.131,1.513,450.0,4111,44.0,0.822,7162450.3
XAUT,1.081,0,2.8,1.081,1.62,1544.0,1102,9.0,3.836,9.5
ALGO,1.06,0,7.2,1.157,0.822,448.0,2069,19.0,3.389,1487614.1
CPOOL,1.041,0,16.5,1.782,1.549,77.0,16498,96.0,2.797,926048.0
IRYS,0.978,0,17.3,3.55,3.416,113.0,20540,144.0,3.572,3507431.3
ARB,0.96,0,9.6,0.96,1.098,400.0,2546,24.0,2.047,1417730.2
UP2,0.947,0,13.5,1.828,2.309,125.0,9885,73.0,0.91,1726055.3
PENGU,0.947,0,20.9,0.95,1.47,866.0,4173,53.0,1.024,105358373.6
INJ,0.941,0,8.7,0.996,0.626,202.0,3235,31.0,3.134,2961.6
TAO,0.899,0,11.9,1.251,1.079,128.0,4142,38.0,4.282,28.3
PROS,0.891,0,13.6,1.979,1.685,83.0,26368,113.0,2.686,53851.1
BLEND,0.874,0,8.2,1.449,1.765,75.0,6808,44.0,1.326,1435441.6
CRO,0.86,0,4.7,0.883,0.845,259.0,2403,13.0,1.249,993741.6
IP,0.847,0,13.1,1.058,1.98,453.0,8130,78.0,4.718,70273.7
SAND,0.843,0,8.4,0.843,0.989,107.0,4994,36.0,0.486,4011437.2
SKY,0.836,0,2.0,0.838,0.429,290.0,2007,7.0,2.021,443725.0
RENDER,0.807,0,17.3,1.052,2.289,239.0,7724,64.0,1.739,23749.2
FLOCK,0.798,0,4.7,0.799,0.425,532.0,3941,21.0,1.846,488161.9
SHIB,0.794,0,16.3,0.794,2.055,189.0,13827,72.0,4.864,16637268192.7
DRIFT,0.775,0,23.9,1.443,2.524,89.0,28707,173.0,11.067,618022.5
ATH,0.766,0,15.6,1.193,0.864,463.0,6224,60.0,7.66,2987117.7
TRUST,0.761,0,12.8,0.83,0.868,130.0,6600,51.0,1.512,1052466.4
ENA,0.745,0,12.8,0.876,0.998,298.0,3776,44.0,1.704,4317890.3
CFG,0.723,0,19.7,1.046,1.496,271.0,9170,103.0,2.312,462131.0
SOON,0.717,0,15.9,1.601,1.024,205.0,6099,59.0,2.11,920122.5
EDGE,0.708,0,14.6,1.409,1.732,145.0,9303,65.0,1.153,2167177.3
FF,0.706,0,26.9,1.441,2.357,221.0,8385,87.0,1.478,3479173.7
BTT,0.704,0,5.1,2.118,2.623,74.0,6159,34.0,3.423,166950298585.4
ZAMA,0.658,0,13.2,1.021,2.712,120.0,9251,82.0,3.085,2305644.6
BCH,0.648,0,9.7,0.692,0.893,217.0,5750,35.0,1.988,153.5
OP,0.636,0,1.5,0.736,0.21,190.0,576,4.0,4.692,449772.4
TRUMP,0.632,0,9.3,0.634,0.967,425.0,5580,30.0,3.513,15059.4
