종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
LAYER,00:00,0.3,0.69,0.38,205,0.56,6234015.7
LAYER,00:10,-0.36,0.05,0.41,53,0.486,6154743.0
LAYER,00:20,-0.15,0.01,0.17,57,0.535,6067474.2
LAYER,00:30,-0.38,0.0,0.38,20,0.503,6177596.9
LAYER,00:40,-0.01,0.0,0.01,5,0.635,5838099.3
LAYER,00:50,0.03,0.04,0.0,9,0.599,5920454.4
LAYER,01:00,0.1,0.17,0.07,29,0.688,6138640.2
LAYER,01:10,2.85,3.52,0.67,700,0.891,5595043.2
LAYER,01:20,1.2,6.11,4.9,1692,1.029,5749986.6
LAYER,01:30,2.75,8.21,5.46,1361,0.832,6084703.4
LAYER,01:40,-2.0,3.44,5.44,1588,0.843,6137446.1
LAYER,01:50,0.34,2.21,1.87,784,0.686,5700305.1
LAYER,02:00,1.58,3.66,2.08,820,0.646,5017287.8
LAYER,02:10,0.49,1.41,0.92,554,0.457,5827700.8
LAYER,02:20,-0.69,1.41,2.1,808,0.74,4223473.4
LAYER,02:30,0.3,1.23,0.92,475,0.654,5074082.3
LAYER,02:40,0.35,0.69,0.34,274,0.615,5476514.3
LAYER,02:50,-0.31,0.15,0.46,215,0.603,5182254.7
LAYER,03:00,-2.16,0.75,2.9,480,0.592,4444216.9
LAYER,03:10,-0.02,0.41,0.43,183,0.616,4538306.3
LAYER,03:20,-0.47,0.12,0.59,197,0.635,4420944.5
LAYER,03:30,0.16,0.54,0.38,189,0.588,4236605.7
LAYER,03:40,1.04,1.51,0.47,392,0.656,4308757.1
LAYER,03:50,-0.01,0.93,0.94,600,0.666,3998304.9
LAYER,04:00,-0.06,0.37,0.43,217,0.653,4298112.3
LAYER,04:10,0.55,0.87,0.32,245,0.526,5295313.8
LAYER,04:20,0.15,1.04,0.89,544,0.537,5994854.0
LAYER,04:30,0.6,1.75,1.15,504,0.582,5128616.6
LAYER,04:40,-1.14,0.39,1.53,305,0.705,4177799.5
LAYER,04:50,-0.59,0.31,0.91,213,0.766,3735068.5
LAYER,05:00,0.28,0.71,0.43,457,0.908,3855807.1
LAYER,05:10,0.62,1.08,0.46,340,0.848,4618117.6
LAYER,05:20,0.25,1.09,0.84,322,0.732,4970232.9
LAYER,05:30,0.28,0.68,0.4,253,0.706,4945504.2
LAYER,05:40,-0.08,0.49,0.58,319,0.753,4750371.6
LAYER,05:50,-1.28,0.53,1.8,488,0.818,4213721.7
LAYER,06:00,-0.4,0.28,0.68,169,0.752,4764853.8
LAYER,06:10,-0.12,0.19,0.31,90,0.73,4802737.3
LAYER,06:20,-0.64,0.2,0.84,153,0.662,4828458.8
LAYER,06:30,-0.35,0.13,0.48,104,0.652,4785573.8
LAYER,06:40,-0.09,0.15,0.24,68,0.623,4810019.9
LAYER,06:50,-0.38,0.29,0.68,174,0.625,4912433.0
LAYER,07:00,0.04,0.68,0.65,172,0.684,4524459.4
LAYER,07:10,0.18,0.56,0.38,215,0.669,5088339.7
LAYER,07:20,0.66,1.13,0.47,422,0.755,5121298.9
LAYER,07:30,0.52,0.77,0.25,164,0.778,5010124.2
LAYER,07:40,0.03,0.38,0.35,143,0.844,4589310.8
LAYER,07:50,-0.07,0.44,0.51,159,0.73,5191405.1
LAYER,08:00,-0.41,0.14,0.54,147,0.844,4523075.4
LAYER,08:10,0.01,0.18,0.17,84,0.797,4682613.5
LAYER,08:20,-0.12,0.07,0.19,57,0.816,4539533.0
LAYER,08:30,-0.04,0.33,0.36,130,0.784,4688657.3
LAYER,08:40,-0.03,0.2,0.23,67,0.917,4805301.6
LAYER,08:50,-0.08,0.13,0.21,95,1.081,4549302.6
LAYER,09:00,-3.12,0.84,3.96,523,1.157,4841434.5
LAYER,09:10,0.42,0.61,0.19,124,1.176,4857499.0
LAYER,09:20,0.31,1.02,0.71,132,1.148,5034210.3
LAYER,09:30,-0.76,0.13,0.89,125,1.143,4546528.9
LAYER,09:40,-0.41,0.49,0.9,155,1.122,4546639.8
LAYER,09:50,-1.67,0.67,2.34,215,0.973,4676235.4
LAYER,10:00,-1.15,0.55,1.7,228,0.864,4921248.2
LAYER,10:10,-0.26,0.68,0.93,216,0.878,4825461.0
LAYER,10:20,0.14,0.76,0.62,183,0.944,4198839.3
LAYER,10:30,-1.2,0.19,1.39,138,0.693,5127560.7
LAYER,10:40,-0.28,0.11,0.39,99,0.757,4977122.0
LAYER,10:50,-0.4,0.1,0.51,128,0.78,4862335.9
LAYER,11:00,-0.22,0.1,0.33,75,0.683,4707967.3
LAYER,11:10,-1.0,0.25,1.25,145,0.615,5266700.2
LAYER,11:20,-0.86,0.72,1.58,178,0.761,3996184.2
LAYER,11:30,-0.73,0.23,0.96,188,0.52,4873709.1
LAYER,11:40,-0.03,0.2,0.23,78,0.472,4946839.1
LAYER,11:50,-0.4,0.11,0.51,78,0.434,5142186.2
LAYER,12:00,-0.65,0.13,0.78,119,0.358,5360826.8
LAYER,12:10,-0.1,0.15,0.24,73,0.593,5062017.2
LAYER,12:20,0.29,0.36,0.06,50,0.624,5308365.3
LAYER,12:30,-1.25,0.11,1.37,229,0.34,5474477.8
LAYER,12:40,-0.26,0.03,0.29,27,0.372,5453205.3
LAYER,12:50,-0.27,0.22,0.49,84,0.314,5475992.1
LAYER,13:00,-0.52,0.75,1.28,223,0.454,4254934.0
LAYER,13:10,-0.06,0.04,0.09,20,0.45,4455960.3
LAYER,13:20,-0.31,0.07,0.38,54,0.448,4638384.4
LAYER,13:30,0.64,0.7,0.07,81,0.471,4608339.6
LAYER,13:40,0.07,0.11,0.04,25,0.537,4612244.0
LAYER,13:50,0.01,0.07,0.06,19,0.48,4580149.7
LAYER,14:00,0.11,0.15,0.05,25,0.405,4919159.7
LAYER,14:10,0.04,0.04,0.0,12,0.436,4752846.3
LAYER,14:20,-0.05,0.16,0.22,70,0.391,5044730.9
LAYER,14:30,0.52,0.56,0.04,91,0.496,4594753.4
LAYER,14:40,0.42,0.51,0.09,36,0.542,4215247.1
LAYER,14:50,-0.12,0.0,0.12,8,0.553,4348835.1
LAYER,15:00,0.01,0.1,0.09,17,0.591,4289808.4
LAYER,15:10,0.26,0.27,0.01,20,0.58,4366862.8
LAYER,15:20,-0.17,0.01,0.18,22,0.579,4482658.7
LAYER,15:30,-0.63,0.16,0.79,97,0.504,4764908.2
LAYER,15:40,-0.29,0.04,0.33,67,0.42,5086474.9
