종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
ONDO,4.97,3,128.6,6.141,3.561,609.0,34177,527.0,3.369,991982.8
WLD,4.106,8,163.6,5.482,7.001,184.0,82616,1084.0,4.077,335445.0
SAHARA,2.937,2,49.1,4.401,4.168,77.0,28077,226.0,0.815,68821507.0
MEGA,2.164,1,77.2,3.543,3.521,155.0,61675,486.0,3.07,1199230.6
ENA,2.082,1,52.4,2.15,3.055,352.0,9881,150.0,1.354,6330796.0
ID,1.84,0,48.2,2.802,2.635,109.0,39427,293.0,2.646,2532446.0
XPL,1.505,0,77.6,1.943,1.917,142.0,25591,265.0,1.856,3148911.9
AERGO,1.473,0,10.2,2.871,1.665,64.0,11213,56.0,2.711,686313.6
ELSA,1.3,0,9.2,1.687,1.833,74.0,11274,61.0,2.458,956350.2
TRUMP,1.255,0,24.5,1.359,1.14,68.0,10291,71.0,2.937,12475.8
NEAR,1.249,0,45.1,1.288,1.336,829.0,21827,195.0,2.727,33370.9
ASTR,1.114,0,8.3,1.732,2.144,110.0,13006,71.0,4.206,5080705.8
UNI,1.097,0,24.7,1.359,1.166,275.0,12086,96.0,3.019,12556.3
HBAR,1.083,0,14.0,1.139,0.99,460.0,2688,31.0,1.438,11925561.9
TAO,1.034,0,10.0,1.035,1.122,940.0,4536,34.0,6.433,37.1
BIO,1.005,0,43.9,1.523,4.208,255.0,22720,198.0,2.175,2236977.9
PENGU,0.986,0,16.4,0.986,1.933,274.0,2746,45.0,0.873,133985122.0
ORCA,0.973,0,15.5,3.069,4.519,73.0,15132,87.0,4.033,17877.0
BCH,0.951,0,12.1,0.998,0.407,550.0,5168,31.0,4.418,114.1
SUI,0.925,0,33.1,1.046,2.282,280.0,18092,146.0,5.43,73687.3
ZBT,0.923,0,16.5,1.065,0.938,115.0,7026,60.0,1.958,1027207.7
VIRTUAL,0.909,0,15.6,1.651,1.559,854.0,7131,66.0,5.948,74522.8
APT,0.906,0,6.6,0.947,0.93,123.0,3787,26.0,4.686,25526.3
IP,0.894,0,15.5,0.909,0.703,64.0,8075,66.0,2.111,298998.0
AVAX,0.883,0,9.9,0.922,1.048,221.0,5363,41.0,3.492,7126.8
JTO,0.881,0,32.5,1.078,0.927,593.0,17702,159.0,3.409,34887.8
PROS,0.88,0,9.7,1.861,2.807,89.0,19714,98.0,3.454,38394.1
CHIP,0.864,0,19.2,1.219,0.81,153.0,9988,91.0,2.787,1414283.4
PIEVERSE,0.85,0,8.8,0.877,0.728,141.0,4096,24.0,2.538,41141.0
TRUST,0.829,0,12.3,2.412,2.532,100.0,29830,191.0,4.952,395120.1
LINK,0.812,0,11.3,1.105,0.66,298.0,6300,42.0,2.782,7507.8
CHZ,0.726,0,13.9,0.726,0.964,101.0,7312,63.0,2.239,7052526.9
B3,0.645,0,10.2,0.65,0.436,31.0,8673,35.0,3.786,49217613.0
SENT,0.617,0,7.6,0.681,0.415,392.0,2878,23.0,2.163,2642737.0
AVNT,0.593,0,3.5,0.593,0.643,659.0,1252,10.0,0.913,1573615.2
KERNEL,0.587,0,13.9,2.013,2.953,114.0,17425,98.0,2.797,495493.7
MOVE,0.582,0,12.6,0.73,0.954,214.0,4032,42.0,1.261,17439639.3
ARKM,0.578,0,4.0,0.795,0.324,215.0,1192,11.0,1.659,337780.4
TRAC,0.577,0,9.4,1.676,1.455,74.0,16466,89.0,3.273,72095.9
SEI,0.573,0,7.4,0.573,0.882,229.0,3451,22.0,4.081,661477.3
KITE,0.568,0,6.2,0.568,0.417,1136.0,1841,15.0,1.066,891402.0
OP,0.565,0,2.3,0.565,0.481,628.0,872,8.0,5.143,236345.3
AERO,0.561,0,7.6,1.056,2.097,53.0,5899,36.0,8.696,19901.6
JST,0.547,0,2.1,0.547,0.203,107.0,497,4.0,0.649,2400891.1
ARB,0.536,0,6.6,0.592,0.954,282.0,1943,20.0,1.91,2565629.1
OPEN,0.524,0,6.5,0.577,0.943,94.0,3277,24.0,3.08,122404.5
AXS,0.52,0,3.4,0.651,0.166,978.0,1798,9.0,2.102,33926.5
XAUT,0.513,0,2.7,0.514,0.394,468.0,1360,6.0,3.143,9.7
PLUME,0.499,0,10.5,0.575,0.668,416.0,1723,28.0,1.577,10126325.0
ME,0.485,0,3.1,0.528,0.6,168.0,1725,11.0,3.355,482439.1
ANIME,0.485,0,3.7,0.486,0.34,287.0,1419,9.0,2.463,10417371.0
RENDER,0.481,0,7.3,0.481,0.388,283.0,3700,24.0,2.993,14044.9
