종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
ONDO,00:00,2.69,6.24,3.56,804,0.468,2103348.7
ONDO,00:10,-0.37,3.14,3.51,475,0.874,1654083.8
ONDO,00:20,-1.75,1.52,3.27,422,1.002,1478621.2
ONDO,00:30,-0.99,1.19,2.19,233,0.858,1494020.7
ONDO,00:40,-1.87,2.47,4.34,394,1.145,1141388.0
ONDO,00:50,-0.77,0.59,1.35,222,0.909,1561045.0
ONDO,01:00,-0.07,0.6,0.67,167,1.038,1610245.1
ONDO,01:10,0.87,1.32,0.45,194,0.785,1848217.8
ONDO,01:20,-0.6,2.32,2.92,277,0.56,2063525.5
ONDO,01:30,-0.79,1.72,2.52,247,0.755,1977608.6
ONDO,01:40,-0.49,3.03,3.51,340,0.703,1917759.6
ONDO,01:50,-1.53,0.88,2.41,285,0.621,1993031.7
ONDO,02:00,0.03,1.17,1.13,136,0.779,1876547.1
ONDO,02:10,-2.37,1.43,3.79,241,0.584,2040550.4
ONDO,02:20,0.17,0.73,0.57,224,0.487,2043249.6
ONDO,02:30,0.13,1.79,1.66,245,0.739,1731190.0
ONDO,02:40,-1.01,1.07,2.07,230,0.843,1687431.9
ONDO,02:50,0.68,2.42,1.73,201,1.142,1451563.0
ONDO,03:00,-1.78,0.73,2.51,167,1.243,1295882.9
ONDO,03:10,-2.46,0.6,3.06,346,2.398,718702.1
ONDO,03:20,-0.24,0.89,1.14,135,1.95,796457.5
ONDO,03:30,-0.85,0.3,1.15,93,1.458,1074794.7
ONDO,03:40,-1.03,0.18,1.21,76,1.06,1350530.9
ONDO,03:50,0.39,0.47,0.08,31,0.914,1448194.9
ONDO,04:00,-0.68,0.37,1.05,109,1.681,1082571.8
ONDO,04:10,-0.27,0.15,0.42,58,1.506,1126966.4
ONDO,04:20,-0.05,0.32,0.37,59,1.031,1479038.8
ONDO,04:30,0.44,0.79,0.34,84,1.331,1243153.4
ONDO,04:40,-0.17,0.3,0.48,58,1.189,1479071.2
ONDO,04:50,-2.62,0.41,3.03,100,1.278,1302263.0
ONDO,05:00,-0.15,0.53,0.68,85,1.767,917284.6
ONDO,05:10,0.52,0.64,0.11,70,0.994,1342178.7
ONDO,05:20,-1.01,0.34,1.35,96,1.349,1262678.5
ONDO,05:30,-0.3,0.26,0.56,74,1.052,1314938.0
ONDO,05:40,-0.99,0.35,1.34,100,1.505,1178727.2
ONDO,05:50,-0.44,1.01,1.45,200,1.904,972182.9
ONDO,06:00,0.29,0.49,0.2,95,1.419,1063692.1
ONDO,06:10,-1.65,0.39,2.04,265,1.234,1232696.0
ONDO,06:20,-1.05,1.76,2.81,520,1.373,1275698.8
ONDO,06:30,-2.05,1.82,3.86,483,2.347,1147642.7
ONDO,06:40,-0.86,3.11,3.97,365,1.879,1020498.5
ONDO,06:50,-0.8,0.71,1.51,195,2.254,1208488.4
ONDO,07:00,0.66,2.89,2.23,289,4.39,747601.3
ONDO,07:10,-0.76,1.43,2.19,179,1.575,1150710.9
ONDO,07:20,-0.02,0.67,0.68,130,1.771,1159095.6
ONDO,07:30,-0.01,1.11,1.11,165,1.989,1017521.9
ONDO,07:40,0.24,1.19,0.94,168,2.031,928388.2
ONDO,07:50,0.4,1.14,0.74,167,1.748,1079981.6
ONDO,08:00,1.51,2.39,0.88,196,1.621,1073701.3
ONDO,08:10,-0.53,0.17,0.7,152,1.435,1131628.6
ONDO,08:20,0.22,0.77,0.55,161,1.532,1151679.7
ONDO,08:30,-0.15,0.67,0.82,105,1.091,1375134.1
ONDO,08:40,1.59,3.32,1.72,152,1.277,1184388.0
