종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,10.158,23,345.3,16.575,16.997,178.0,132438,1782.0,1.978,881738.3
JTO,4.111,4,66.5,4.913,4.086,140.0,33744,326.0,2.807,126316.8
PENGU,4.1,2,30.1,4.901,0.859,205.0,4075,56.0,0.799,134295624.6
ENA,3.548,1,35.1,4.728,1.415,170.0,5585,76.0,1.326,7364198.9
ONDO,3.505,5,135.2,4.062,4.523,225.0,29377,471.0,3.073,1334891.4
TRUMP,2.338,1,59.9,2.408,1.882,314.0,35239,287.0,3.48,33515.7
MEGA,2.249,1,70.9,2.789,2.362,164.0,40416,361.0,2.135,1518764.7
HBAR,2.157,1,22.7,2.861,1.123,775.0,3898,42.0,1.865,9840285.5
TAO,2.084,1,53.7,5.644,8.757,297.0,17293,192.0,3.265,134.5
NEAR,2.047,1,90.1,3.338,1.567,99.0,36228,338.0,2.567,33881.3
XPL,1.746,0,28.6,1.764,0.996,124.0,7337,69.0,0.967,6790779.9
IP,1.723,0,39.0,1.836,0.879,93.0,14717,133.0,2.499,388565.6
B3,1.619,0,20.0,2.392,2.158,65.0,26359,136.0,4.31,63477424.0
SKR,1.419,0,12.1,1.466,0.389,229.0,6148,32.0,0.968,21412420.4
WET,1.205,0,12.2,1.825,1.842,105.0,13544,71.0,2.332,587774.4
SAHARA,1.192,0,51.3,1.194,1.966,81.0,26675,203.0,1.3,54174900.7
SUI,1.181,0,39.9,1.882,1.937,133.0,19819,178.0,3.2,153910.0
CHIP,1.145,0,62.0,2.0,2.415,118.0,35373,318.0,2.557,2319389.7
TRAC,1.067,0,9.3,2.116,1.696,68.0,16523,74.0,2.014,70747.9
KERNEL,1.064,0,36.1,1.929,1.933,138.0,52610,276.0,4.471,314046.6
ARB,1.06,0,7.0,1.06,1.407,236.0,1913,16.0,2.664,2380712.3
INJ,1.015,0,9.6,1.393,1.016,255.0,4351,32.0,3.542,10708.9
PEPE,0.976,0,12.3,1.264,0.451,207.0,3032,28.0,2.263,45233040382.5
BCH,0.963,0,29.5,1.102,1.455,95.0,13083,103.0,4.62,150.6
AVAX,0.955,0,13.6,1.071,1.305,119.0,6367,47.0,5.49,5905.1
