종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,4.389,3,103.4,6.106,5.572,253.0,44637,587.0,3.013,531242.1
ONDO,2.738,2,100.0,2.798,4.173,298.0,37046,492.0,6.156,515541.3
CHIP,2.42,1,21.8,4.042,3.811,130.0,17821,132.0,3.395,2332471.7
NEAR,2.243,1,81.7,2.293,3.055,209.0,47077,465.0,2.103,40112.3
WIF,2.169,1,2.7,2.169,0.524,215.0,446,4.0,1.796,444176.2
FF,1.936,0,38.9,2.56,2.426,168.0,17689,184.0,2.701,2281030.6
XPL,1.863,0,14.0,1.881,1.484,612.0,4178,36.0,0.802,8385699.9
SAHARA,1.714,0,38.4,1.991,7.175,133.0,22284,193.0,2.297,2908241.7
SEI,1.619,0,66.9,1.665,2.064,139.0,17879,209.0,1.372,2971504.1
ONG,1.552,0,24.5,2.146,2.146,91.0,18319,133.0,5.118,310878.7
PENGU,1.515,0,20.8,1.538,1.483,459.0,4570,61.0,0.917,126522654.4
DKA,1.472,0,7.8,1.481,1.434,164.0,8162,36.0,2.003,7694142.2
TRAC,1.45,0,48.2,2.405,2.763,74.0,52217,391.0,5.463,66761.6
PROS,1.44,0,24.8,2.57,3.466,85.0,25768,156.0,4.017,64404.7
ALT,1.43,0,51.5,2.24,2.337,106.0,29459,268.0,2.462,27403234.3
SUI,1.421,0,37.6,1.617,3.125,421.0,23052,211.0,6.62,83661.1
B3,1.413,0,13.4,1.797,1.421,105.0,4866,35.0,0.676,400252059.2
KAITO,1.396,0,8.6,1.401,0.646,223.0,2962,23.0,2.4,78944.8
DRIFT,1.365,0,35.7,1.546,2.91,131.0,40213,249.0,6.858,916134.5
ORCA,1.203,0,9.7,2.444,1.241,146.0,6994,40.0,3.386,18495.6
SOON,1.202,0,37.7,2.968,2.359,248.0,13695,125.0,0.825,2206963.9
APT,1.152,0,7.2,1.152,0.379,165.0,2618,18.0,6.7,14465.5
VIRTUAL,1.143,0,47.6,1.714,2.256,190.0,21237,220.0,3.47,99704.7
CHZ,1.122,0,13.7,1.152,1.534,311.0,6580,43.0,2.171,3519294.1
PRL,1.066,0,15.9,3.053,2.702,190.0,15819,125.0,2.668,459441.9
INJ,1.03,0,20.0,1.096,0.823,314.0,6262,53.0,4.3,9215.1
ATH,1.014,0,31.1,1.076,0.73,175.0,9741,95.0,1.016,14531138.0
IN,1.009,0,39.2,1.121,1.402,111.0,13005,125.0,1.118,6162173.8
LINK,0.969,0,20.8,0.969,1.352,606.0,9772,75.0,6.243,4737.1
BLEND,0.957,0,6.2,1.168,0.434,336.0,2092,21.0,1.551,1373222.4
RENDER,0.94,0,33.1,1.062,0.714,296.0,13852,114.0,2.788,18680.7
AZTEC,0.902,0,21.9,1.953,2.385,221.0,14867,102.0,1.739,3365691.7
IP,0.885,0,14.3,0.891,1.079,299.0,5610,49.0,3.517,221438.6
AAVE,0.885,0,3.4,0.903,0.512,401.0,2357,14.0,2.16,643.7
KAT,0.871,0,5.5,1.076,0.637,291.0,1965,15.0,0.814,46508720.3
PUMP,0.819,0,3.1,1.181,0.865,131.0,1050,10.0,1.264,88527437.2
VVV,0.805,0,10.7,1.017,0.564,1025.0,5018,39.0,2.82,3187.6
TIA,0.758,0,5.0,0.758,0.933,1517.0,2136,16.0,3.489,67556.9
ZRO,0.757,0,3.2,1.105,0.486,485.0,2663,14.0,3.415,29189.3
SHIB,0.755,0,12.4,0.757,1.676,759.0,10063,47.0,3.27,29626945157.8
IRYS,0.754,0,27.0,1.012,1.259,317.0,22544,139.0,3.149,2982703.5
CFG,0.747,0,24.2,1.168,0.842,306.0,9423,85.0,1.771,465242.0
TAO,0.72,0,13.5,0.72,1.205,327.0,5010,52.0,2.231,277.7
ICP,0.707,0,34.2,2.24,3.046,132.0,35763,269.0,4.278,9471.0
LA,0.702,0,4.1,1.403,0.701,242.0,1301,12.0,0.843,1306252.2
MIRA,0.695,0,6.7,1.059,0.887,155.0,2646,25.0,0.538,5163538.6
BERA,0.69,0,6.6,0.7,0.417,323.0,2672,19.0,2.568,133510.1
SAND,0.688,0,6.6,0.688,0.742,197.0,2898,19.0,0.505,22239437.4
