종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,8.118,21,276.4,11.275,16.054,138.0,128103,1702.0,2.962,366394.0
XPL,4.058,4,75.0,4.775,3.636,118.0,22921,246.0,1.273,6429871.2
ID,2.289,3,72.7,5.67,4.59,102.0,86130,619.0,3.302,2023071.4
ONDO,1.973,0,85.1,1.986,4.254,400.0,24878,346.0,2.678,1448076.2
UNI,1.861,0,67.9,2.51,2.837,233.0,42305,348.0,4.552,10376.6
NEAR,1.83,0,44.0,1.844,1.341,364.0,19034,188.0,4.327,29730.6
WAVES,1.658,0,10.2,2.647,3.834,80.0,8214,54.0,6.409,180349.4
FF,1.654,0,6.1,1.667,0.81,198.0,1279,11.0,1.806,1646018.3
TRUMP,1.596,0,30.1,1.639,0.982,111.0,12358,92.0,2.955,32308.2
FIL,1.573,0,6.1,1.573,0.26,171.0,1974,12.0,2.788,41837.1
DOT,1.566,0,4.0,1.566,0.775,1566.0,887,9.0,2.006,45215.8
SUI,1.523,0,28.9,1.537,0.99,218.0,10805,96.0,3.118,124605.2
JTO,1.431,0,52.1,1.948,2.0,120.0,34809,323.0,4.585,84308.0
ENA,1.403,0,38.9,1.421,2.587,244.0,5868,88.0,1.505,8045494.5
BIO,1.366,0,40.1,2.091,2.618,89.0,31792,278.0,3.403,2604708.3
SENT,1.305,0,39.7,1.987,1.762,102.0,24730,203.0,2.558,4645555.8
LINK,1.258,0,11.8,1.258,0.546,1573.0,4312,34.0,4.006,6139.1
PENGU,1.233,0,12.5,1.233,0.841,1233.0,2024,26.0,0.973,137450223.1
B3,1.201,0,11.2,2.442,1.373,75.0,12195,62.0,5.146,40678659.3
ORCA,1.196,0,22.5,3.398,4.522,64.0,24431,165.0,4.533,24736.1
AAVE,1.155,0,5.4,1.208,1.169,175.0,2043,18.0,3.547,342.2
HBAR,1.114,0,11.7,1.268,1.032,245.0,2216,26.0,1.394,12522861.6
WLFI,1.103,0,9.7,1.17,0.71,281.0,2808,28.0,2.416,2011696.5
ELSA,1.041,0,19.4,2.715,2.128,94.0,36378,212.0,3.484,567069.6
MEGA,0.96,0,19.9,1.282,1.563,130.0,11469,92.0,2.919,1410668.8
INJ,0.93,0,9.5,0.962,1.277,199.0,3718,30.0,2.418,10759.4
IP,0.918,0,14.4,0.918,0.886,170.0,7243,52.0,2.027,486411.2
TAO,0.894,0,12.0,0.901,0.529,699.0,4592,40.0,3.25,191.3
BCH,0.863,0,13.7,0.863,1.242,166.0,6231,41.0,5.228,148.4
SAHARA,0.852,0,28.5,0.864,1.286,154.0,12715,104.0,0.793,72716275.8
ZKP,0.825,0,2.6,0.825,0.317,275.0,2138,7.0,2.256,465832.2
