종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
OP,00:00,0.01,0.02,0.01,11,1.373,874865.5
OP,00:10,0.0,0.0,0.0,4,1.129,982910.0
OP,00:20,-0.04,0.0,0.04,15,1.134,1005994.3
OP,00:30,-0.18,0.01,0.19,44,1.433,875364.3
OP,00:40,-0.02,0.0,0.02,7,0.911,859573.4
OP,00:50,-0.02,0.0,0.02,8,1.528,859550.0
OP,01:00,0.09,0.11,0.02,10,1.819,764047.1
OP,01:10,0.01,0.01,0.0,7,1.181,823244.6
OP,01:20,0.07,0.07,0.0,8,1.643,863349.2
OP,01:40,-0.0,0.0,0.0,2,1.252,829830.1
OP,01:50,-0.04,0.0,0.04,13,1.202,1001996.7
OP,02:00,-0.01,0.0,0.01,2,1.875,717473.4
OP,02:10,-0.02,0.0,0.02,1,1.893,754886.9
OP,02:20,0.03,0.03,0.0,16,1.407,812780.9
OP,02:30,0.05,0.05,0.0,12,1.702,732486.3
OP,02:40,-0.05,0.0,0.05,5,1.018,998021.1
OP,03:10,0.02,0.02,0.0,4,0.988,1026436.6
OP,03:30,0.0,0.0,0.0,3,1.061,999657.7
OP,03:50,0.05,0.05,0.0,5,1.115,975969.1
OP,04:00,0.03,0.03,0.0,2,0.742,964952.0
OP,04:10,0.0,0.0,0.0,3,1.096,988893.3
OP,04:20,-0.08,0.0,0.08,8,1.253,934305.7
OP,04:30,-0.18,0.0,0.18,34,1.413,852699.5
OP,04:40,0.0,0.01,0.0,6,1.732,782725.7
OP,04:50,0.05,0.05,0.0,7,1.335,876520.2
OP,05:00,0.0,0.0,0.0,6,1.618,867184.1
OP,05:10,-0.01,0.0,0.01,4,0.581,980984.0
OP,05:20,-0.04,0.0,0.04,5,0.926,947229.4
OP,05:30,0.0,0.0,0.0,2,1.265,866727.1
OP,05:40,0.0,0.0,0.0,3,1.634,785942.5
OP,06:00,0.03,0.03,0.0,6,0.936,865773.0
OP,06:10,-0.0,0.0,0.0,3,1.371,866030.7
OP,06:20,0.0,0.0,0.0,3,1.472,882188.5
OP,06:30,0.0,0.0,0.0,6,1.41,898396.9
OP,06:40,-0.0,0.0,0.0,1,1.099,943175.8
OP,06:50,-0.0,0.0,0.0,2,1.003,944094.4
OP,07:00,0.01,0.37,0.36,12,1.914,601542.4
OP,07:10,0.0,0.0,0.0,1,1.922,602038.0
OP,07:20,0.15,0.43,0.28,23,4.563,330022.3
OP,07:30,-0.02,0.0,0.02,3,4.186,329739.2
OP,07:40,-0.06,0.0,0.06,22,4.039,321128.8
OP,07:50,-0.07,0.0,0.07,24,2.778,333181.7
OP,08:00,-0.0,0.0,0.0,3,3.964,382867.4
OP,08:10,-0.0,0.0,0.0,3,2.067,382598.8
OP,08:20,-0.3,0.0,0.3,46,1.312,525316.0
OP,08:30,0.06,0.09,0.03,6,3.232,471068.3
OP,08:40,-0.03,0.01,0.04,13,3.318,471299.7
OP,08:50,-0.01,0.0,0.01,6,3.255,471657.3
OP,09:00,0.0,0.0,0.0,6,2.211,479051.6
OP,09:10,0.25,0.25,0.0,12,2.397,482069.3
OP,09:20,-0.0,0.0,0.0,2,2.515,589789.7
OP,09:30,-0.02,0.11,0.13,13,2.886,513470.2
