종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,6.809,19,295.1,13.483,9.827,250.0,154713,2311.0,4.018,295556.7
NEAR,3.735,3,137.2,5.37,6.674,225.0,96969,1045.0,5.457,21008.3
ONDO,3.571,6,171.3,4.354,6.852,277.0,75017,1010.0,6.225,435515.0
HBAR,3.076,3,45.3,3.076,3.294,496.0,8395,126.0,1.644,9912140.0
ZBT,2.281,1,29.3,2.296,1.009,121.0,12584,109.0,1.493,1193528.0
ENA,2.196,1,94.0,2.359,3.549,392.0,23737,370.0,2.001,3193614.3
RENDER,1.994,0,35.1,2.016,2.39,345.0,19162,166.0,3.546,14112.9
SUI,1.782,0,56.4,2.963,5.397,139.0,29869,295.0,8.773,52329.1
XAUT,1.752,0,6.9,1.995,0.828,162.0,2423,14.0,1.756,9.4
XPL,1.567,0,46.9,2.04,2.393,73.0,17590,151.0,1.812,3858192.8
PEPE,1.516,0,10.4,1.563,0.716,350.0,4735,33.0,4.095,33030623336.3
TRAC,1.489,0,51.2,3.881,3.712,98.0,69166,453.0,4.409,100213.2
AERGO,1.436,0,7.3,2.393,2.42,125.0,6713,42.0,2.223,726850.5
ARB,1.3,0,9.2,1.3,0.635,542.0,3107,27.0,1.94,1247508.3
ICP,1.252,0,24.8,1.435,0.921,294.0,9105,93.0,6.072,6840.5
INJ,1.249,0,20.8,1.249,0.742,140.0,5905,59.0,3.365,2072.4
ZORA,1.233,0,44.9,2.002,2.441,231.0,27329,218.0,2.313,16756979.3
MOODENG,1.209,0,5.6,1.509,0.422,306.0,2460,15.0,2.304,835975.7
MLK,1.182,0,7.0,1.663,1.343,55.0,14281,60.0,3.315,206281.2
BCH,1.174,0,42.8,1.799,2.498,172.0,21309,186.0,5.509,103.6
JTO,1.15,0,34.4,1.788,2.549,196.0,16469,154.0,2.51,83754.7
PENGU,1.143,0,23.5,1.359,2.171,161.0,5575,69.0,1.616,46909363.0
PIEVERSE,1.141,0,32.2,2.452,3.246,143.0,32989,245.0,2.954,30002.6
EDGE,1.129,0,16.4,1.748,1.284,79.0,12345,72.0,0.842,2198683.6
AVNT,1.126,0,9.5,1.127,1.116,593.0,3070,34.0,3.698,837888.0
LINK,1.064,0,30.0,1.219,1.361,237.0,13503,114.0,9.973,4160.2
BIO,1.04,0,25.0,1.242,1.609,133.0,10404,108.0,3.742,2599925.4
CHZ,1.031,0,27.1,1.067,3.144,194.0,21229,184.0,10.822,702608.9
IN,0.938,0,46.7,1.079,1.104,291.0,18899,152.0,1.436,2014427.4
ELF,0.927,0,5.0,1.044,1.188,72.0,4959,24.0,0.507,1642548.0
JST,0.92,0,17.8,0.922,1.216,237.0,6169,51.0,1.379,2139132.0
CPOOL,0.897,0,14.1,2.269,2.131,90.0,17095,90.0,3.838,668834.1
TRUMP,0.891,0,8.8,0.971,1.386,619.0,6827,43.0,6.437,7203.2
SAHARA,0.881,0,41.7,1.868,1.943,210.0,23746,181.0,1.958,5576864.3
ZRO,0.865,0,12.5,1.055,0.657,86.0,7880,41.0,3.078,26317.5
ID,0.863,0,13.5,1.053,0.757,138.0,7373,51.0,1.645,2587700.6
IP,0.857,0,23.8,1.893,2.013,97.0,12860,102.0,3.82,109086.8
DOT,0.852,0,6.0,0.916,0.688,753.0,2645,17.0,2.365,37748.6
W,0.847,0,11.8,0.847,0.785,470.0,4694,40.0,2.708,8908242.2
VIRTUAL,0.845,0,43.8,1.35,2.778,294.0,27318,286.0,13.787,25078.9
TAO,0.83,0,15.9,0.845,0.573,318.0,6498,58.0,6.758,29.9
SYRUP,0.802,0,8.9,2.623,4.066,72.0,13391,73.0,5.65,167803.9
POL,0.798,0,11.7,0.88,0.669,458.0,2869,28.0,1.224,3576870.1
