종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
WLD,00:00,0.03,0.36,0.32,37,0,0
WLD,00:10,-0.37,0.29,0.66,77,0,0
WLD,00:20,-0.57,0.2,0.77,70,0,0
WLD,00:30,0.12,0.13,0.01,27,0,0
WLD,00:40,0.04,0.09,0.05,20,0,0
WLD,00:50,0.01,0.21,0.2,26,0,0
WLD,01:00,-0.45,0.2,0.65,37,0,0
WLD,01:10,-0.28,0.04,0.32,41,0,0
WLD,01:20,-0.16,0.06,0.22,41,0,0
WLD,01:30,-0.06,0.08,0.14,39,0,0
WLD,01:40,-0.04,0.18,0.22,47,0,0
WLD,01:50,0.5,1.07,0.57,102,0,0
WLD,02:00,0.07,0.11,0.04,23,0,0
WLD,02:10,-0.04,0.07,0.11,21,0,0
WLD,02:20,0.86,0.94,0.08,125,0,0
WLD,02:30,-0.33,0.05,0.38,47,0,0
WLD,02:40,0.48,0.58,0.1,92,0,0
WLD,02:50,0.98,2.59,1.61,414,0,0
WLD,03:00,0.06,0.38,0.32,72,0,0
WLD,03:10,0.09,0.44,0.35,67,0,0
WLD,03:20,1.07,1.41,0.34,102,0,0
WLD,03:30,3.1,4.36,1.26,394,0,0
WLD,03:40,0.45,1.58,1.13,238,0.42,1331194.6
WLD,03:50,1.09,1.66,0.57,179,0.337,1278616.9
WLD,04:00,0.2,1.01,0.81,176,0.37,1312070.0
WLD,04:10,0.78,1.29,0.51,270,0.269,1259476.4
WLD,04:20,0.63,1.18,0.55,231,0.399,1233812.8
WLD,04:30,-0.93,0.93,1.85,287,0.236,1220594.4
WLD,04:40,-0.43,0.63,1.06,234,0.387,1167937.3
WLD,04:50,-1.31,0.26,1.57,142,0.316,1178729.6
WLD,05:00,2.16,2.58,0.42,144,0.343,1135269.2
WLD,05:10,1.22,2.26,1.04,371,0.347,1213540.4
WLD,05:20,-0.98,0.85,1.82,242,0.459,1153771.4
WLD,05:30,-0.83,0.66,1.49,236,0.499,1015963.3
WLD,05:40,-1.57,1.02,2.59,320,0.791,823721.6
WLD,05:50,0.45,0.9,0.46,111,0.582,994018.9
WLD,06:00,0.29,0.68,0.39,127,0.608,1015165.1
WLD,06:10,-0.44,0.73,1.18,151,0.748,885129.2
WLD,06:20,-0.16,0.54,0.7,119,0.47,1074861.4
WLD,06:30,-0.13,0.51,0.64,144,0.587,1018815.2
WLD,06:40,0.33,0.86,0.54,158,0.549,993057.2
WLD,06:50,0.2,1.09,0.89,223,0.535,1162366.8
WLD,07:00,-0.89,1.24,2.13,258,0.454,1298108.6
WLD,07:10,0.74,2.04,1.29,254,0.671,967709.3
WLD,07:20,-0.11,0.67,0.78,207,0.582,1253250.7
WLD,07:30,-1.07,0.74,1.81,207,0.554,1181724.1
WLD,07:40,-0.14,0.52,0.67,103,0.521,1237237.8
WLD,07:50,-0.6,0.27,0.86,120,0.537,1205749.9
WLD,08:00,0.24,0.72,0.48,138,0.532,1246638.0
WLD,08:10,0.05,0.34,0.29,179,0.589,1066094.0
WLD,08:20,-0.05,0.61,0.66,110,0.679,1068023.0
WLD,08:30,0.38,1.24,0.87,133,0.563,1109707.3
WLD,08:40,-0.39,0.6,0.98,97,0.502,943418.3
WLD,08:50,0.07,0.43,0.36,124,0.621,925407.1
WLD,09:00,-0.9,0.46,1.36,170,0.559,1048537.3
WLD,09:10,-0.37,0.37,0.74,129,0.607,969065.2
WLD,09:20,0.18,1.08,0.9,171,0.669,937710.2
WLD,09:30,-1.43,0.89,2.32,253,0.76,836103.3
WLD,09:40,-0.72,1.15,1.87,181,0.874,879926.6
WLD,09:50,-0.51,1.03,1.53,220,0.606,970556.2
WLD,10:00,-0.42,0.4,0.83,137,0.763,865598.9
WLD,10:10,0.55,1.03,0.48,154,0.738,920466.0
WLD,10:20,2.28,3.59,1.32,268,1.376,658008.4
WLD,10:30,-2.25,0.49,2.75,219,1.267,740297.9
WLD,10:40,0.53,1.19,0.66,121,0.93,910544.3
WLD,10:50,-0.01,0.39,0.4,62,1.015,925685.8
WLD,11:00,-0.56,0.39,0.95,91,0.76,987298.9
WLD,11:10,0.19,0.97,0.79,127,1.342,656333.4
WLD,11:20,-0.79,0.4,1.19,81,0.872,875432.4
WLD,11:30,-0.71,0.22,0.92,71,1.358,677312.8
WLD,11:40,-0.24,2.49,2.73,185,1.42,547613.1
WLD,11:50,0.23,0.87,0.64,137,1.681,529006.1
NEAR,00:00,-1.9,3.27,5.17,767,0,0
NEAR,00:10,-1.53,2.67,4.2,756,0,0
NEAR,00:20,1.05,3.31,2.26,641,0,0
NEAR,00:30,0.15,3.17,3.01,716,0,0
NEAR,00:40,8.64,14.18,5.54,1457,0,0
NEAR,00:50,0.89,6.58,5.69,1123,0,0
NEAR,01:00,-1.78,1.89,3.67,733,0,0
NEAR,01:10,-0.7,3.71,4.4,863,0,0
NEAR,01:20,1.77,3.4,1.64,617,0,0
NEAR,01:30,2.22,5.45,3.23,988,0,0
NEAR,01:40,7.53,12.33,4.8,1527,0,0
NEAR,01:50,-0.68,7.16,7.84,1640,0,0
NEAR,02:00,0.08,4.19,4.12,1117,0,0
NEAR,02:10,-1.2,2.27,3.48,896,0,0
NEAR,02:20,-0.62,2.06,2.68,611,0,0
NEAR,02:30,1.45,4.88,3.43,816,0,0
NEAR,02:40,0.19,1.91,1.72,517,0,0
NEAR,02:50,-1.23,2.5,3.73,530,0,0
NEAR,03:00,-0.02,0.83,0.86,261,0,0
NEAR,03:10,0.73,2.08,1.35,320,0,0
NEAR,03:20,-1.95,0.85,2.8,292,0,0
NEAR,03:30,-0.37,1.78,2.15,327,0,0
NEAR,03:40,0.56,1.13,0.57,244,1.003,60174.1
NEAR,03:50,-1.14,0.3,1.44,215,0.981,63801.3
NEAR,04:00,-0.84,1.01,1.85,301,0.845,80132.9
NEAR,04:10,-0.02,1.19,1.21,235,1.033,79306.1
NEAR,04:20,0.04,1.17,1.14,250,1.292,59218.4
NEAR,04:30,-1.02,1.0,2.02,302,0.923,77935.2
NEAR,04:40,0.21,1.3,1.09,245,0.753,90870.4
NEAR,04:50,1.21,2.23,1.02,315,1.028,65291.9
NEAR,05:00,-0.34,1.16,1.49,309,0.663,92356.5
NEAR,05:10,0.33,1.43,1.1,266,0.649,97682.5
NEAR,05:20,-0.48,0.76,1.25,219,0.505,85586.7
NEAR,05:30,0.01,1.24,1.23,374,0.572,95385.1
NEAR,05:40,-0.06,1.11,1.16,267,0.905,70461.2
NEAR,05:50,0.84,1.74,0.9,340,0.751,90436.8
NEAR,06:00,1.74,2.68,0.95,422,0.601,100335.5
NEAR,06:10,-0.07,1.69,1.76,453,0.801,80447.1
NEAR,06:20,1.0,1.56,0.56,286,1.317,55649.3
NEAR,06:30,-0.99,1.42,2.41,388,0.679,81251.0
NEAR,06:40,0.22,1.18,0.96,307,1.193,61531.3
NEAR,06:50,0.52,1.91,1.39,404,0.745,81834.8
NEAR,07:00,-0.8,1.6,2.4,550,0.626,87020.5
NEAR,07:10,0.12,1.59,1.47,332,0.648,89698.6
NEAR,07:20,-2.85,1.26,4.11,477,1.027,73561.5
NEAR,07:30,-1.78,2.2,3.97,660,1.132,67517.8
NEAR,07:40,0.77,1.69,0.93,309,0.672,112488.4
NEAR,07:50,2.22,3.88,1.66,524,0.492,112664.1
NEAR,08:00,0.15,1.6,1.46,377,0.617,123216.6
NEAR,08:10,1.5,4.61,3.11,776,0.783,90923.6
NEAR,08:20,-1.07,1.91,2.97,371,1.029,71995.4
NEAR,08:30,-0.59,1.35,1.94,413,0.98,77039.1
NEAR,08:40,0.38,2.1,1.72,415,0.941,70939.8
NEAR,08:50,0.84,2.6,1.76,515,0.856,80726.5
NEAR,09:00,-2.79,2.72,5.51,867,1.03,72579.8
NEAR,09:10,0.52,1.53,1.0,365,1.014,89822.1
