종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
ID,6.517,14,138.4,10.001,7.375,77.0,118963,1098.0,3.775,2410128.9
POKT,2.932,1,21.5,4.431,3.334,169.0,14589,122.0,1.468,13880539.3
WLD,2.752,2,56.7,18.719,31.751,184.0,21938,347.0,4.136,757523.4
IN,2.676,1,25.1,3.942,2.215,150.0,13950,117.0,2.083,2585717.3
NEAR,2.406,1,40.2,5.091,7.508,161.0,17539,201.0,3.624,37675.8
RENDER,1.948,0,14.0,2.052,2.358,232.0,6606,49.0,2.63,18494.7
HBAR,1.858,0,42.9,1.858,3.004,395.0,7971,128.0,1.002,17265572.8
PYTH,1.614,0,11.9,2.532,1.996,191.0,11358,95.0,5.955,399635.7
PUMP,1.305,0,5.3,1.305,0.901,103.0,794,11.0,1.993,72445071.2
ONDO,1.273,0,35.4,4.783,12.532,306.0,14021,164.0,2.096,1202927.7
FF,1.258,0,12.9,1.516,1.245,132.0,4735,48.0,0.89,4010242.7
PEPE,1.229,0,4.3,1.229,0.706,683.0,1074,9.0,1.96,53979889525.3
PRL,1.104,0,22.4,14.449,14.021,136.0,15827,142.0,1.39,1046137.3
ME,1.037,0,2.5,1.04,0.336,282.0,1365,7.0,0.995,3635957.5
SAHARA,1.004,0,12.0,2.481,2.813,184.0,7323,62.0,1.941,4877847.3
AAVE,0.999,0,2.6,1.0,0.331,455.0,949,6.0,4.029,421.3
SOON,0.96,0,4.8,1.639,1.123,429.0,2022,14.0,1.009,1176064.5
SEI,0.946,0,13.1,2.636,7.061,234.0,6024,63.0,1.808,2265445.2
ICP,0.877,0,5.7,1.053,0.417,455.0,2071,18.0,1.85,17034.3
PENDLE,0.867,0,5.2,1.037,0.535,184.0,3067,16.0,2.678,17423.3
INJ,0.865,0,22.9,3.737,3.324,193.0,20766,186.0,6.355,5378.8
IRYS,0.785,0,17.4,2.382,2.11,80.0,12458,93.0,2.443,4655085.5
ETC,0.762,0,5.1,0.766,0.947,157.0,2966,15.0,7.441,4510.1
DRIFT,0.726,0,9.7,3.085,6.406,77.0,19086,94.0,4.81,806818.8
XPL,0.713,0,12.8,1.226,1.291,119.0,4132,40.0,0.832,7687709.3
SUI,0.711,0,15.7,3.856,8.723,212.0,13462,114.0,4.816,113540.5
ZAMA,0.682,0,5.8,2.566,3.262,113.0,3894,31.0,1.961,2247167.5
JTO,0.68,0,17.9,1.418,2.809,77.0,12808,110.0,2.167,149584.2
LAYER,0.628,0,8.0,0.628,0.685,108.0,2218,26.0,0.729,7190792.0
SHIB,0.619,0,8.0,0.736,2.084,388.0,5603,30.0,3.442,34802115167.7
A,0.592,0,2.6,0.712,0.263,143.0,800,4.0,0.972,2881030.9
SPK,0.576,0,3.4,0.576,0.472,103.0,1628,11.0,2.031,3636868.4
VIRTUAL,0.569,0,10.5,1.322,2.716,381.0,7550,66.0,3.436,114137.1
BAT,0.56,0,6.5,0.565,0.503,154.0,2687,20.0,2.061,1308401.8
POL,0.55,0,3.6,0.55,0.249,393.0,792,6.0,0.934,4895313.0
MON,0.545,0,5.1,3.5,4.997,681.0,3307,24.0,2.534,2931553.2
ENA,0.519,0,7.1,0.53,1.683,164.0,2228,26.0,1.989,3991787.8
PENGU,0.511,0,9.2,1.309,1.99,229.0,1741,26.0,0.944,107846521.1
MMT,0.51,0,9.4,0.511,0.377,68.0,3196,26.0,1.165,1141408.8
AVNT,0.508,0,3.2,0.564,0.772,477.0,963,9.0,1.931,1098283.3
BONK,0.504,0,1.6,0.514,0.815,1047.0,1032,7.0,2.526,15955380522.4
CPOOL,0.497,0,3.3,0.765,1.083,56.0,2687,13.0,1.507,1788867.4
LINK,0.496,0,8.9,3.631,3.363,200.0,3997,36.0,2.921,7895.4
ALGO,0.489,0,8.0,0.489,0.634,158.0,2453,22.0,0.908,3390596.0
ARB,0.477,0,3.6,0.56,0.624,367.0,878,10.0,1.428,2107249.0
ELSA,0.468,0,1.3,0.701,0.721,156.0,1217,7.0,2.135,529168.3
AVAX,0.45,0,3.4,0.632,0.765,209.0,1875,11.0,3.007,6006.2
ARKM,0.447,0,3.4,0.447,0.531,373.0,1330,13.0,1.355,669809.6
AKT,0.43,0,3.8,0.516,0.721,257.0,1845,13.0,1.399,50501.9
CHZ,0.418,0,6.4,0.562,1.19,353.0,3229,29.0,5.406,2106857.2
SAND,0.416,0,3.7,0.419,0.765,201.0,1537,10.0,0.27,8425643.1
ANKR,0.416,0,1.3,0.719,0.303,105.0,500,3.0,3.89,4536592.0
BREV,0.414,0,1.0,0.414,0.238,592.0,247,2.0,0.698,1697786.7
HYPER,0.407,0,2.1,0.407,0.308,136.0,494,4.0,0.578,2213841.6
BLEND,0.386,0,2.3,0.547,0.373,74.0,1214,8.0,1.084,1951229.0
BCH,0.384,0,8.5,1.09,2.596,70.0,6123,42.0,4.173,83.3
SNT,0.37,0,0.7,0.37,0.103,168.0,515,2.0,0.355,44716926.4
MOVE,0.363,0,2.4,0.363,0.254,330.0,1202,7.0,1.051,8479437.4
LA,0.362,0,4.6,0.681,1.799,118.0,2961,24.0,1.702,691750.4
CFG,0.352,0,7.7,2.035,4.804,127.0,3820,40.0,3.293,276807.1
STX,0.346,0,4.5,0.346,0.958,247.0,1784,14.0,2.487,585271.2
TIA,0.344,0,1.1,0.362,0.294,97.0,1169,4.0,3.558,46916.7
COW,0.336,0,1.4,0.866,1.619,135.0,1126,7.0,2.169,118063.5
