종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
B3,00:00,-0.03,0.01,0.03,15,0.491,548646377.3
B3,00:10,0.06,0.06,0.0,21,0.456,596043611.3
B3,00:20,-0.02,0.03,0.05,26,0.433,623671709.1
B3,00:30,0.07,0.08,0.01,28,0.443,613888065.0
B3,00:40,0.02,0.18,0.16,49,0.446,619163450.5
B3,00:50,-0.06,0.02,0.08,14,0.439,625438113.1
B3,01:00,0.0,0.0,0.0,1,0.431,626225183.6
B3,01:10,0.0,0.0,0.0,1,0.499,626449118.7
B3,01:20,0.0,0.0,0.0,2,0.488,631158919.7
B3,01:30,-0.05,0.0,0.05,14,0.489,630972922.6
B3,01:40,0.0,0.0,0.0,1,0.483,638215508.5
B3,01:50,-0.01,0.0,0.01,2,0.482,638031383.8
B3,02:00,-0.07,0.0,0.07,16,0.475,632737975.3
B3,02:10,-0.0,0.0,0.0,2,0.476,632838686.1
B3,02:30,-0.02,0.0,0.02,2,0.468,634895445.6
B3,02:50,-0.0,0.0,0.0,3,0.468,634992056.2
B3,03:00,-0.0,0.0,0.0,1,0.468,634883496.4
B3,03:10,-0.01,0.0,0.01,3,0.477,632980201.1
B3,03:40,0.0,0.0,0.0,1,0.459,632572896.8
B3,03:50,-0.0,0.0,0.0,3,0.409,629496901.3
B3,04:00,-0.07,0.02,0.1,9,0.404,637471054.0
B3,04:10,0.03,0.03,0.0,3,0.408,634831460.0
B3,04:20,0.0,0.0,0.0,2,0.398,651884077.7
B3,04:30,0.0,0.0,0.0,2,0.399,652012208.4
B3,04:40,0.0,0.0,0.0,1,0.43,651583879.0
B3,05:00,-0.01,0.0,0.01,4,0.4,653536362.8
B3,05:10,-0.04,0.0,0.04,1,0.4,649069079.8
B3,05:30,-0.0,0.02,0.02,10,0.42,644691459.4
B3,05:40,-0.19,0.01,0.21,33,0.414,610810433.7
B3,05:50,0.06,0.06,0.0,9,0.41,621650590.9
B3,06:00,0.0,0.0,0.0,1,0.404,658217596.1
B3,06:10,0.02,0.03,0.0,3,0.406,657495356.8
B3,06:20,-0.11,0.0,0.11,9,0.463,650604617.8
B3,06:30,-0.0,0.0,0.0,4,0.477,655044567.0
B3,06:40,-0.49,0.0,0.49,45,0.397,618700092.0
B3,06:50,-0.1,0.0,0.1,27,0.347,618376451.7
B3,07:00,0.06,0.07,0.0,14,0.367,622720517.1
B3,07:10,0.01,0.06,0.05,10,0.367,626910146.6
B3,07:20,0.02,0.02,0.0,4,0.367,624670898.0
B3,07:30,-0.0,0.0,0.0,6,0.366,628016042.0
B3,07:40,-0.05,0.0,0.05,3,0.328,635069793.1
B3,07:50,-0.0,0.0,0.0,5,0.319,643937031.5
