종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,14.832,29,337.4,19.977,24.705,129.0,149790,2096.0,3.009,450896.4
JTO,4.429,6,164.3,10.353,11.576,372.0,127063,1368.0,4.623,91304.4
ONDO,2.23,1,118.4,3.944,4.811,208.0,32554,512.0,2.601,919079.7
MIRA,1.969,0,15.2,2.784,4.586,100.0,16234,116.0,7.399,430802.7
STRAX,1.889,0,45.7,3.421,1.653,70.0,40084,239.0,2.818,14223238.4
XPL,1.778,0,27.1,1.779,1.079,575.0,8554,77.0,1.205,6374826.6
HBAR,1.657,0,24.4,1.657,2.669,690.0,4411,59.0,1.353,11003215.0
SAHARA,1.484,0,46.8,2.717,1.915,104.0,23100,191.0,1.468,54502272.7
FF,1.471,0,6.4,1.471,0.434,14713.0,1530,13.0,2.681,2107015.6
NEAR,1.457,0,66.4,1.909,1.851,109.0,32652,313.0,6.32,19318.8
KERNEL,1.45,0,26.2,3.53,4.084,181.0,28938,163.0,17.475,390117.5
PEPE,1.435,0,6.7,2.004,0.787,260.0,2863,20.0,3.833,32698276497.8
BCH,1.414,0,26.0,1.722,1.205,451.0,10936,81.0,2.935,214.0
SUI,1.373,0,42.1,1.374,1.925,275.0,20225,175.0,3.678,100549.3
PENGU,1.353,0,20.3,1.364,0.793,328.0,3298,43.0,1.245,114549301.4
MOVE,1.307,0,34.4,1.41,1.238,123.0,12096,129.0,1.464,19931324.2
ENSO,1.079,0,23.7,1.389,0.725,67.0,9909,83.0,2.518,67819.7
ENA,1.043,0,27.8,1.121,1.649,148.0,4997,77.0,1.43,6123020.8
SYRUP,1.039,0,3.0,1.304,1.062,227.0,914,7.0,1.37,418326.6
B3,1.034,0,14.5,2.443,2.28,74.0,16872,101.0,3.642,53622919.9
ZRO,1.004,0,27.9,1.255,1.082,188.0,15534,129.0,4.485,34443.2
MEGA,0.931,0,30.2,1.281,1.381,141.0,19633,159.0,2.575,1139553.8
TRUMP,0.92,0,32.1,1.158,1.374,113.0,20698,149.0,4.809,23189.1
ZKC,0.841,0,10.8,2.714,3.212,95.0,16967,100.0,3.536,686310.5
SHIB,0.819,0,15.7,1.021,0.883,168.0,9060,51.0,2.347,32502500481.3
CHIP,0.8,0,22.4,0.896,1.222,129.0,11521,100.0,4.571,1110770.1
CHZ,0.792,0,17.5,1.649,1.257,302.0,10937,89.0,2.695,4974981.1
SENT,0.776,0,13.0,1.626,2.024,98.0,11124,81.0,2.856,3266533.0
WAVES,0.762,0,25.7,2.256,3.161,72.0,29838,190.0,4.43,144810.1
