종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
ID,3.619,4,96.6,6.035,3.84,95.0,71259,631.0,3.799,1474033.2
AXS,2.351,1,31.9,5.23,4.506,165.0,26721,196.0,3.034,33913.6
CBK,2.303,1,5.4,3.757,2.21,152.0,4462,28.0,1.905,127788.7
WLD,2.228,2,111.1,3.452,8.825,191.0,61650,865.0,4.102,418556.3
LAYER,2.179,1,68.5,3.183,2.946,112.0,33938,315.0,1.905,5158906.5
CC,1.813,0,14.2,3.229,2.23,285.0,5617,55.0,2.657,954218.1
MBL,1.754,0,13.4,2.494,1.613,92.0,10043,67.0,1.796,245798699.7
G,1.704,0,18.0,3.583,2.785,63.0,23695,155.0,2.057,10390631.6
BOUNTY,1.587,0,3.6,2.8,1.213,95.0,4920,22.0,1.457,2564505.3
TT,1.508,0,45.8,4.771,5.712,117.0,38932,280.0,4.711,52858964.5
AHT,1.486,0,8.3,1.682,4.375,122.0,8110,50.0,2.512,49190578.0
ARX,1.4,0,31.5,2.476,7.524,82.0,63705,474.0,5.479,181044.9
VIRTUAL,1.306,0,14.8,1.636,0.592,207.0,5561,49.0,2.537,142257.3
ENSO,1.299,0,31.1,3.746,2.447,74.0,26613,195.0,4.118,62154.1
IQ,1.299,0,21.4,1.85,2.242,101.0,18243,109.0,1.058,153492185.0
SUI,1.218,0,34.9,1.224,2.529,99.0,18530,162.0,9.479,66338.8
MOC,1.194,0,7.8,1.709,2.294,139.0,9652,54.0,3.863,1867205.1
MMT,1.177,0,32.0,1.305,0.999,251.0,17816,145.0,2.132,257911.6
ONDO,1.099,0,47.5,1.897,2.878,262.0,23135,283.0,3.793,1267422.2
META,1.072,0,3.3,1.802,1.403,86.0,3963,18.0,0.701,27263567.2
SAHARA,1.062,0,35.8,1.118,1.389,267.0,18688,163.0,0.691,59872193.5
HIVE,1.057,0,5.3,2.255,1.932,167.0,7803,40.0,3.111,294184.8
PRL,0.937,0,18.2,1.767,1.95,113.0,14305,96.0,1.656,785291.7
CHZ,0.885,0,12.5,0.981,1.431,220.0,5791,54.0,2.666,4190491.0
