종목,시각,순매수억,매수억,매도억,체결수,매수벽비율,총매도잔량
PRL,00:00,0.0,0.33,0.33,95,0.587,1598605.1
PRL,00:10,-0.2,0.28,0.48,68,0.475,1820347.0
PRL,00:20,0.14,0.27,0.13,60,0.539,1763911.1
PRL,00:30,-0.37,0.29,0.66,85,0.414,1935401.1
PRL,00:40,0.14,0.89,0.75,84,0.501,1659519.8
PRL,00:50,0.01,0.47,0.46,88,0.441,1666472.6
PRL,01:00,0.09,0.13,0.04,48,0.456,1633252.4
PRL,01:10,0.25,0.64,0.38,100,0.39,1819782.1
PRL,01:20,-0.21,0.04,0.25,50,0.44,1808896.4
PRL,01:30,0.02,0.02,0.01,21,0.473,1782887.7
PRL,01:40,-0.08,0.24,0.32,51,0.469,1707743.6
PRL,01:50,-0.1,0.04,0.14,19,0.451,1640960.1
PRL,02:00,-0.08,0.14,0.22,46,0.532,1547853.6
PRL,02:10,0.02,0.15,0.13,17,0.408,1691411.8
PRL,02:20,-0.06,0.0,0.06,7,0.396,1722055.1
PRL,02:30,0.06,0.12,0.07,40,0.451,1698217.7
PRL,02:40,-0.04,0.04,0.09,14,0.453,1692153.0
PRL,02:50,0.02,0.05,0.03,20,0.442,1723280.8
PRL,03:00,-0.26,0.18,0.44,43,0.451,1689719.3
PRL,03:10,-0.03,0.01,0.04,20,0.443,1722770.3
PRL,03:20,-0.01,0.01,0.03,16,0.514,1591880.2
PRL,03:30,-0.25,0.06,0.31,22,0.406,1702184.3
PRL,03:40,-0.03,0.0,0.04,19,0.491,1672874.1
PRL,03:50,-0.13,0.03,0.16,39,0.468,1708131.0
PRL,04:00,0.17,0.19,0.01,26,0.505,1633971.2
PRL,04:10,-0.24,0.01,0.26,41,0.425,1694565.8
PRL,04:20,-0.03,0.04,0.07,16,0.497,1634404.8
PRL,04:30,-0.07,0.01,0.08,14,0.457,1587706.4
PRL,04:40,-0.0,0.02,0.02,16,0.494,1669876.4
PRL,04:50,-0.08,0.01,0.09,12,0.541,1506465.2
PRL,05:00,-0.03,0.01,0.04,12,0.508,1705389.9
PRL,05:10,-0.03,0.05,0.08,20,0.437,1743989.0
PRL,05:20,0.01,0.06,0.05,14,0.419,1808626.7
PRL,05:30,-0.19,0.01,0.2,26,0.458,1780324.6
PRL,05:40,-0.08,0.0,0.08,14,0.452,1819735.8
PRL,05:50,-0.45,0.28,0.74,40,0.552,1664134.3
PRL,06:00,-0.01,0.12,0.13,44,0.537,1670429.4
PRL,06:10,0.15,0.17,0.02,22,0.458,1743590.6
PRL,06:20,0.45,0.57,0.12,60,0.413,1706154.8
PRL,06:30,-0.07,0.03,0.1,16,0.323,1925992.9
PRL,06:40,-0.24,0.12,0.36,57,0.433,1797050.5
PRL,06:50,-0.39,0.02,0.41,42,0.493,1424650.1
PRL,07:00,-0.37,0.56,0.93,155,0.47,1260498.1
PRL,07:10,-0.24,0.15,0.39,100,0.225,2256601.5
PRL,07:20,-0.07,0.05,0.11,33,0.24,2308036.4
PRL,07:30,0.16,0.18,0.02,57,0.291,2200147.3
PRL,07:40,0.03,0.08,0.05,22,0.278,2122657.9
PRL,07:50,-0.26,0.0,0.26,44,0.25,2260158.3
