종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,8.931,12,202.1,9.765,9.707,182.0,92275,1295.0,6.138,290617.7
OP,4.726,1,9.3,7.185,2.46,679.0,1659,26.0,6.245,200420.0
JTO,2.606,1,41.0,3.026,1.167,176.0,22555,177.0,4.213,57232.9
LINK,2.383,1,16.2,3.045,0.966,494.0,5536,42.0,2.669,5705.3
ENA,2.204,1,29.3,2.205,2.465,613.0,7066,98.0,1.3,6343071.4
PEPE,1.952,0,7.0,1.956,1.069,288.0,2124,17.0,2.896,34789004322.4
KERNEL,1.942,0,23.7,4.258,2.317,57.0,22092,131.0,5.218,333592.6
TRUST,1.931,0,46.2,2.566,3.293,87.0,66423,434.0,4.433,732723.4
HBAR,1.645,0,10.1,1.645,0.654,305.0,2308,26.0,1.372,10330687.2
MET2,1.631,0,47.3,3.14,2.854,113.0,34572,278.0,2.392,531009.3
ONDO,1.55,0,84.0,2.955,4.323,825.0,26583,382.0,6.742,462102.2
CHIP,1.344,0,22.6,1.368,1.163,232.0,10773,120.0,2.372,1804843.5
AERGO,1.252,0,25.1,1.547,1.303,96.0,28940,165.0,2.891,1120312.1
PENGU,1.233,0,15.6,1.682,2.859,199.0,5459,57.0,1.121,69276733.5
XPL,1.186,0,29.5,1.474,2.309,662.0,8628,95.0,1.858,2796726.6
BLEND,1.168,0,24.5,2.633,3.306,66.0,48095,244.0,6.453,153659.6
BIO,1.157,0,26.4,1.29,0.838,110.0,11790,93.0,2.179,2225044.1
SUI,1.097,0,29.8,1.822,1.57,220.0,15911,128.0,6.134,79731.1
AXL,0.987,0,7.0,1.067,0.303,126.0,3101,22.0,2.14,821039.5
VIRTUAL,0.986,0,19.3,1.627,1.282,396.0,6311,64.0,3.583,141245.3
HYPER,0.984,0,11.2,3.189,2.719,74.0,7705,52.0,0.808,2642954.4
NEAR,0.947,0,37.0,1.292,2.432,327.0,19151,169.0,4.576,23636.3
MEGA,0.917,0,34.1,1.031,2.475,123.0,34900,250.0,3.928,870978.8
TRUMP,0.899,0,16.5,0.899,0.885,375.0,7111,39.0,2.632,16690.2
ARB,0.882,0,6.5,0.917,0.545,366.0,1696,18.0,1.895,1871035.8
FF,0.881,0,4.3,0.888,0.265,172.0,1044,8.0,1.362,2799809.5
WAVES,0.862,0,10.6,2.148,3.583,98.0,16978,109.0,4.476,176838.0
AVAX,0.799,0,19.1,0.97,1.523,296.0,14624,110.0,7.37,2295.2
ZBT,0.765,0,9.9,1.178,0.831,187.0,4479,30.0,1.331,980250.5
PIEVERSE,0.763,0,3.9,0.763,1.077,332.0,2642,16.0,2.003,59489.5
AQT,0.722,0,15.9,0.836,0.896,161.0,15047,94.0,3.244,120694.8
ALT,0.696,0,12.1,1.116,1.436,98.0,6115,47.0,1.15,8370788.3
WCT,0.688,0,8.2,1.115,0.932,84.0,5515,35.0,3.448,513775.6
SAND,0.671,0,3.3,0.723,0.317,431.0,2553,11.0,3.708,547363.0
ALGO,0.66,0,6.6,0.716,0.553,644.0,2429,23.0,2.09,2223641.9
SAHARA,0.658,0,34.2,0.755,2.015,627.0,19712,157.0,0.693,56002317.2
UNI,0.637,0,12.9,0.652,0.787,136.0,6271,42.0,2.37,10086.3
RENDER,0.631,0,12.2,0.687,0.843,140.0,4857,39.0,3.027,18380.1
PYTH,0.59,0,2.7,0.734,0.521,129.0,1521,8.0,2.184,669808.6
MOVE,0.587,0,16.3,0.601,0.791,256.0,5877,48.0,1.049,22464663.5
IP,0.585,0,23.6,0.82,0.938,165.0,10942,106.0,2.435,294353.6
IN,0.581,0,7.2,0.581,0.788,363.0,2563,22.0,0.802,4336610.8
KAITO,0.56,0,8.2,1.019,1.155,101.0,6845,44.0,7.19,36973.9
TAO,0.552,0,11.0,0.721,0.765,198.0,5135,39.0,6.266,64.1
JUP,0.55,0,3.4,0.55,0.354,688.0,1024,8.0,1.504,226288.9
KITE,0.535,0,3.7,0.535,0.556,535.0,1448,12.0,0.872,933201.8
POL,0.507,0,6.4,0.73,0.447,101.0,1630,14.0,1.377,3048334.3
BREV,0.5,0,2.0,0.5,0.391,357.0,858,5.0,0.836,2009927.2
BCH,0.499,0,11.1,0.515,1.699,147.0,8258,46.0,6.382,155.8
CFG,0.495,0,9.7,0.645,1.05,118.0,4164,35.0,3.033,397324.9
ICP,0.495,0,3.0,0.495,0.564,1238.0,1295,8.0,6.324,3154.5
ID,0.491,0,15.7,0.494,0.506,273.0,6929,56.0,1.97,2505697.1
GRT,0.483,0,1.8,0.503,0.504,145.0,978,5.0,12.281,1408588.0
DOT,0.467,0,2.5,0.479,0.402,1167.0,1022,7.0,1.583,21862.5
