종목,1틱최대순매수,2억이상횟수,누적순매수,최대매수액,최대매도액,최대체결당금액만,총체결수,거래대금억,최대매수벽비율,최소총매도잔량
WLD,5.82,7,126.3,7.467,5.294,194.0,47538,553.0,2.543,745254.1
AXS,3.997,2,76.4,6.775,7.186,102.0,79502,659.0,7.602,33989.4
ENSO,2.558,1,18.4,4.031,3.044,151.0,13368,107.0,2.485,91259.3
ID,2.516,1,30.2,4.592,3.169,72.0,24866,211.0,4.247,1511160.1
ONDO,2.339,1,55.8,2.346,1.918,294.0,16041,211.0,2.824,1511988.6
JTO,2.194,1,38.3,2.753,1.386,138.0,25760,207.0,4.602,86899.8
ENA,2.136,1,17.3,2.136,2.008,388.0,3188,39.0,1.403,7620040.0
STRAX,2.136,2,61.1,3.855,2.339,76.0,46881,325.0,3.965,15978716.3
MET2,1.715,0,61.2,3.212,3.441,120.0,36546,316.0,5.157,433695.4
WAVES,1.678,0,34.7,4.27,4.356,83.0,55551,360.0,3.525,205022.0
SOON,1.661,0,17.7,2.906,2.608,130.0,9287,75.0,1.412,846167.7
IP,1.64,0,38.1,2.23,1.551,143.0,15074,128.0,2.431,297884.8
FF,1.534,0,3.0,1.59,0.928,239.0,665,7.0,1.009,2780125.2
SUI,1.285,0,19.0,1.375,1.559,385.0,9159,65.0,3.016,204016.7
VIRTUAL,1.255,0,8.2,1.266,1.952,1417.0,3584,44.0,2.099,177681.6
PENGU,1.242,0,9.6,1.242,1.915,336.0,1544,21.0,0.623,172041165.6
KAT,1.155,0,14.6,3.639,3.018,75.0,14863,98.0,3.252,7166761.5
SAND,1.12,0,44.9,1.967,1.812,109.0,36587,314.0,2.981,1417092.7
NEAR,1.113,0,28.5,1.191,1.172,208.0,11353,101.0,2.284,43416.4
TRUMP,1.096,0,22.5,5.433,5.486,88.0,29976,248.0,5.832,17182.6
MMT,1.063,0,17.8,2.67,2.314,90.0,15806,131.0,1.609,500646.9
SAHARA,0.971,0,34.5,0.973,1.174,139.0,11795,98.0,0.68,72175368.9
XPL,0.951,0,15.5,0.984,0.854,484.0,3693,39.0,1.62,3701880.0
APT,0.923,0,5.9,0.923,0.249,201.0,1965,18.0,3.192,43554.0
CHIP,0.895,0,33.8,1.023,1.607,170.0,17197,168.0,3.404,1678844.3
LINK,0.876,0,5.6,1.183,0.365,276.0,2493,16.0,1.875,9180.7
TRUST,0.853,0,9.0,0.892,0.847,146.0,7188,32.0,2.375,839885.4
B3,0.846,0,6.0,1.585,2.4,52.0,9338,39.0,3.551,44284691.8
MEGA,0.778,0,23.4,0.786,1.275,199.0,14613,122.0,2.826,1443325.3
POL,0.7,0,3.1,0.7,1.193,412.0,879,8.0,1.034,3799168.5
SPK,0.68,0,7.6,0.828,1.007,314.0,2041,19.0,2.316,5766536.6
MOVE,0.638,0,7.1,0.778,0.906,177.0,2511,19.0,1.424,20165307.9
RED,0.621,0,2.7,0.63,0.27,256.0,1131,8.0,2.385,555687.0
MANA,0.608,0,15.8,0.721,0.492,130.0,6454,41.0,2.71,2203580.2
HBAR,0.605,0,5.4,0.605,0.717,1008.0,1152,12.0,1.414,10844796.7
W,0.597,0,18.8,1.412,1.142,284.0,5752,56.0,1.209,18801975.7
MANTRA,0.594,0,10.4,1.045,0.818,90.0,4938,38.0,0.564,37681084.4
SEI,0.591,0,15.5,1.168,1.266,591.0,4222,51.0,5.145,1585117.7
TAO,0.586,0,12.2,0.651,0.92,128.0,6086,46.0,3.459,201.8
SOMI,0.57,0,2.1,0.571,0.151,636.0,250,3.0,1.428,540236.2
KITE,0.538,0,8.4,0.587,0.471,82.0,2955,24.0,1.74,889066.1
PIEVERSE,0.533,0,5.8,0.605,0.414,969.0,3359,17.0,2.447,92615.7
BONK,0.522,0,2.1,0.635,0.53,467.0,799,7.0,2.326,20158721706.1
JUP,0.518,0,14.9,0.519,0.406,70.0,4312,37.0,1.085,505034.7
ALGO,0.503,0,3.3,0.503,0.348,359.0,1042,8.0,1.728,2581328.4
BREV,0.495,0,2.8,0.501,0.358,195.0,1039,6.0,0.718,3012563.9
PUMP,0.487,0,5.7,0.672,0.496,812.0,1387,12.0,2.748,51249678.4
YGG,0.476,0,6.0,1.599,2.881,169.0,5366,35.0,2.293,885288.4
BIO,0.475,0,8.3,0.691,0.737,238.0,3590,28.0,2.404,2577952.9
